DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,29383.57557
01/07/2013,-90,30802.757269
01/07/2013,-75,31010.718651
01/07/2013,-60,29970.276568
01/07/2013,-45,30260.757423
01/07/2013,-30,30344.226155
01/07/2013,-15,30770.943849
01/07/2013,0,30269.030861
01/07/2013,15,29428.652864
01/07/2013,30,29259.668125
01/07/2013,45,29345.908188
01/07/2013,60,29860.428903
01/07/2013,75,29256.511744
01/07/2013,90,29078.623354
01/07/2013,105,29156.270835
01/07/2013,120,28346.697353
01/07/2013,135,28815.157722
01/07/2013,150,29959.860346
01/07/2013,165,30406.441285
01/07/2013,180,30278.991486
01/07/2013,195,31903.713434
01/07/2013,210,32389.999109
01/07/2013,225,33857.644231
01/07/2013,240,35689.42251
01/07/2013,255,40915.10563
01/07/2013,270,45459.095509
01/07/2013,285,47193.836536
01/07/2013,300,48024.200926
01/07/2013,315,50285.052655
01/07/2013,330,51059.460839
01/07/2013,345,51373.932558
01/07/2013,360,52702.44587
01/07/2013,375,53118.609407
01/07/2013,390,53264.025322
01/07/2013,405,53187.119307
01/07/2013,420,52790.451648
01/07/2013,435,52417.903099
01/07/2013,450,52534.189651
01/07/2013,465,51503.089399
01/07/2013,480,52013.667628
01/07/2013,495,50352.011326
01/07/2013,510,49888.167312
01/07/2013,525,48933.704582
01/07/2013,540,48392.636564
01/07/2013,555,48020.008793
01/07/2013,570,48279.620015
01/07/2013,585,48971.444538
01/07/2013,600,50318.324345
01/07/2013,615,51357.977227
01/07/2013,630,52086.60125
01/07/2013,645,51513.754031
01/07/2013,660,51655.891266
01/07/2013,675,53050.728136
01/07/2013,690,52558.261715
01/07/2013,705,51298.138695
01/07/2013,720,49735.615716
01/07/2013,735,48543.846165
01/07/2013,750,50105.690783
01/07/2013,765,49209.236594
01/07/2013,780,47361.461039
01/07/2013,795,46975.980575
01/07/2013,810,48533.065963
01/07/2013,825,48178.199731
01/07/2013,840,48718.51814
01/07/2013,855,48787.71941
01/07/2013,870,48739.274442
01/07/2013,885,49483.723068
01/07/2013,900,49058.664599
01/07/2013,915,48742.489823
01/07/2013,930,48655.999818
01/07/2013,945,47890.378015
01/07/2013,960,47387.069234
01/07/2013,975,45716.379813
01/07/2013,990,46226.011182
01/07/2013,1005,47912.543241
