DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,25472.636708
01/07/2013,-90,25294.671317
01/07/2013,-75,25494.912777
01/07/2013,-60,25125.887274
01/07/2013,-45,24981.455289
01/07/2013,-30,24838.072953
01/07/2013,-15,24572.467444
01/07/2013,0,24846.77076
01/07/2013,15,25500.705439
01/07/2013,30,25611.789464
01/07/2013,45,25440.218296
01/07/2013,60,25239.511455
01/07/2013,75,25503.532894
01/07/2013,90,25970.16733
01/07/2013,105,25866.900077
01/07/2013,120,25584.865051
01/07/2013,135,25260.892042
01/07/2013,150,25358.727075
01/07/2013,165,25569.439678
01/07/2013,180,25760.296202
01/07/2013,195,26047.261621
01/07/2013,210,26053.358752
01/07/2013,225,26958.182064
01/07/2013,240,28772.135361
01/07/2013,255,30754.49881
01/07/2013,270,33388.06627
01/07/2013,285,35477.635436
01/07/2013,300,37093.243759
01/07/2013,315,39146.329425
01/07/2013,330,40135.216303
01/07/2013,345,40647.445153
01/07/2013,360,41700.073135
01/07/2013,375,42529.149944
01/07/2013,390,43314.744271
01/07/2013,405,44185.469312
01/07/2013,420,44399.212677
01/07/2013,435,45415.965166
01/07/2013,450,45441.353606
01/07/2013,465,45771.457972
01/07/2013,480,45730.214822
01/07/2013,495,45562.30242
01/07/2013,510,45537.352345
01/07/2013,525,45270.264274
01/07/2013,540,44664.205487
01/07/2013,555,44877.56903
01/07/2013,570,44460.624049
01/07/2013,585,44873.237694
01/07/2013,600,44861.515685
01/07/2013,615,45501.125894
01/07/2013,630,46142.450349
01/07/2013,645,46025.801966
01/07/2013,660,46496.687406
01/07/2013,675,46744.494917
01/07/2013,690,46506.090497
01/07/2013,705,45689.276521
01/07/2013,720,44044.085295
01/07/2013,735,44090.632159
01/07/2013,750,43839.537565
01/07/2013,765,43776.28301
01/07/2013,780,43143.788673
01/07/2013,795,43180.087113
01/07/2013,810,42772.363719
01/07/2013,825,42357.147546
01/07/2013,840,41527.81793
01/07/2013,855,41237.12443
01/07/2013,870,41269.917348
01/07/2013,885,40781.386981
01/07/2013,900,40138.165306
01/07/2013,915,39563.29393
01/07/2013,930,38721.01523
01/07/2013,945,37400.773084
01/07/2013,960,36509.142681
01/07/2013,975,36223.082655
01/07/2013,990,35921.53419
01/07/2013,1005,36376.816435
01/07/2013,1020,36524.619783
01/07/2013,1035,36378.499662
01/07/2013,1050,35713.500886
01/07/2013,1065,35630.288909
01/07/2013,1080,35648.288357
01/07/2013,1095,35362.019036
01/07/2013,1110,35289.007671
01/07/2013,1125,35093.741253
01/07/2013,1140,34868.373289
01/07/2013,1155,34056.384526
01/07/2013,1170,33652.735141
01/07/2013,1185,33500.382429
01/07/2013,1200,32915.571092
01/07/2013,1215,32625.042564
01/07/2013,1230,32399.174175
01/07/2013,1245,32682.623274
01/07/2013,1260,32688.042722
01/07/2013,1275,32566.730771
01/07/2013,1290,31899.392481
01/07/2013,1305,32236.526534
01/07/2013,1320,31615.039375
02/07/2013,-105,31084.027398
02/07/2013,-90,31235.004212
02/07/2013,-75,31010.524015
02/07/2013,-60,30638.802776
02/07/2013,-45,30559.666279
02/07/2013,-30,30124.762276
02/07/2013,-15,30160.432042
02/07/2013,0,29917.595836
02/07/2013,15,29535.003507
02/07/2013,30,30361.581132
02/07/2013,45,30310.956001
02/07/2013,60,30571.776063
02/07/2013,75,30343.18903
02/07/2013,90,30320.553436
02/07/2013,105,30223.090628
02/07/2013,120,30355.070774
02/07/2013,135,30331.633449
02/07/2013,150,30159.709968
02/07/2013,165,30120.631755
02/07/2013,180,29984.392021
02/07/2013,195,29949.696922
02/07/2013,210,30072.989732
02/07/2013,225,31030.597692
02/07/2013,240,32273.034876
02/07/2013,255,34597.11386
02/07/2013,270,36844.933837
02/07/2013,285,38514.760621
02/07/2013,300,39386.665502
02/07/2013,315,41016.182853
02/07/2013,330,41996.107313
02/07/2013,345,43531.649502
02/07/2013,360,43813.104748
02/07/2013,375,42848.935561
02/07/2013,390,44050.417392
02/07/2013,405,45648.202528
02/07/2013,420,45608.559057
02/07/2013,435,46210.256322
02/07/2013,450,46651.96861
02/07/2013,465,46986.888263
02/07/2013,480,47271.908243
02/07/2013,495,46012.598942
02/07/2013,510,46367.656732
02/07/2013,525,46420.465245
02/07/2013,540,46386.953849
02/07/2013,555,46675.923795
02/07/2013,570,46259.609132
02/07/2013,585,46701.13502
02/07/2013,600,47405.557027
02/07/2013,615,48601.251739
02/07/2013,630,47927.270405
02/07/2013,645,47697.947799
02/07/2013,660,48154.949181
02/07/2013,675,48377.193465
02/07/2013,690,47484.772119
02/07/2013,705,47410.17996
02/07/2013,720,45728.772655
02/07/2013,735,45320.520622
02/07/2013,750,45572.948547
02/07/2013,765,45121.481638
02/07/2013,780,45149.202292
02/07/2013,795,45103.189267
02/07/2013,810,44214.94282
02/07/2013,825,44954.3012
02/07/2013,840,44411.337371
02/07/2013,855,43734.328996
02/07/2013,870,43250.609948
02/07/2013,885,42665.276332
02/07/2013,900,42039.586579
02/07/2013,915,41417.798631
02/07/2013,930,40630.848965
02/07/2013,945,39585.653192
02/07/2013,960,38991.568764
02/07/2013,975,37998.076761
02/07/2013,990,38085.273103
02/07/2013,1005,38526.699669
02/07/2013,1020,38461.884836
02/07/2013,1035,39043.942551
02/07/2013,1050,38472.336783
02/07/2013,1065,38330.054916
02/07/2013,1080,38489.768311
02/07/2013,1095,37934.363666
02/07/2013,1110,37766.352584
02/07/2013,1125,37767.399517
02/07/2013,1140,36777.91879
02/07/2013,1155,36157.386884
02/07/2013,1170,35351.224286
02/07/2013,1185,34653.506503
02/07/2013,1200,33636.670103
02/07/2013,1215,33510.556325
02/07/2013,1230,33658.258669
02/07/2013,1245,33756.900932
02/07/2013,1260,33736.734726
02/07/2013,1275,33251.246473
02/07/2013,1290,32623.847164
02/07/2013,1305,32991.646421
02/07/2013,1320,32872.752553
03/07/2013,-105,32305.021328
03/07/2013,-90,32497.404576
03/07/2013,-75,32343.760973
03/07/2013,-60,31720.766536
03/07/2013,-45,31411.620306
03/07/2013,-30,31303.584258
03/07/2013,-15,30708.228635
03/07/2013,0,30776.432347
03/07/2013,15,30780.034259
03/07/2013,30,31009.962215
03/07/2013,45,30944.370554
03/07/2013,60,31171.363112
03/07/2013,75,31279.88145
03/07/2013,90,30822.192969
03/07/2013,105,30946.407957
03/07/2013,120,30832.257788
03/07/2013,135,30773.424248
03/07/2013,150,30948.223793
03/07/2013,165,30344.053482
03/07/2013,180,30487.463829
03/07/2013,195,30523.292783
03/07/2013,210,30388.51554
03/07/2013,225,31324.840821
03/07/2013,240,31897.676424
03/07/2013,255,34563.704548
03/07/2013,270,36758.943473
03/07/2013,285,38294.35724
03/07/2013,300,39611.996586
03/07/2013,315,41282.086103
03/07/2013,330,42135.53833
03/07/2013,345,43976.646355
03/07/2013,360,44886.824363
03/07/2013,375,45005.054992
03/07/2013,390,46171.166799
03/07/2013,405,46604.548619
03/07/2013,420,46740.140276
03/07/2013,435,47165.906839
03/07/2013,450,47487.969407
03/07/2013,465,47899.294615
03/07/2013,480,47590.355567
03/07/2013,495,48053.527718
03/07/2013,510,47319.715103
03/07/2013,525,47412.894323
