DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,13450.989288
01/07/2013,-90,13225.750889
01/07/2013,-75,13001.939456
01/07/2013,-60,12932.865599
01/07/2013,-45,12987.616413
01/07/2013,-30,13115.46393
01/07/2013,-15,13098.237475
01/07/2013,0,13146.241884
01/07/2013,15,13274.472572
01/07/2013,30,13345.003024
01/07/2013,45,13321.840206
01/07/2013,60,13239.318459
01/07/2013,75,13518.281089
01/07/2013,90,13467.772451
01/07/2013,105,13548.170892
01/07/2013,120,13440.990923
01/07/2013,135,13204.978048
01/07/2013,150,13113.387847
01/07/2013,165,13291.57317
01/07/2013,180,13542.330026
01/07/2013,195,13892.551085
01/07/2013,210,13879.797486
01/07/2013,225,14118.316569
01/07/2013,240,14967.890816
01/07/2013,255,17492.894704
01/07/2013,270,18778.805781
01/07/2013,285,19629.652726
01/07/2013,300,20611.954914
01/07/2013,315,21219.613588
01/07/2013,330,21423.935286
01/07/2013,345,21539.789216
01/07/2013,360,22179.910463
01/07/2013,375,21995.326122
01/07/2013,390,22455.570471
01/07/2013,405,22924.770154
01/07/2013,420,23260.850755
01/07/2013,435,23372.637258
01/07/2013,450,23450.355389
01/07/2013,465,23179.697036
01/07/2013,480,23422.918347
01/07/2013,495,23548.126603
01/07/2013,510,23306.919487
01/07/2013,525,22694.819269
01/07/2013,540,22548.190285
01/07/2013,555,22123.219589
01/07/2013,570,22594.507441
01/07/2013,585,22483.842948
01/07/2013,600,22469.107176
01/07/2013,615,22554.024531
01/07/2013,630,23004.211224
01/07/2013,645,23087.667152
01/07/2013,660,23122.558095
01/07/2013,675,23017.75534
01/07/2013,690,22457.686331
01/07/2013,705,21856.510704
01/07/2013,720,21153.34446
01/07/2013,735,21179.788612
01/07/2013,750,21262.898257
01/07/2013,765,21220.477164
01/07/2013,780,21199.342145
01/07/2013,795,21410.627206
01/07/2013,810,21023.894988
01/07/2013,825,20629.478251
01/07/2013,840,20592.025055
01/07/2013,855,19793.59663
01/07/2013,870,19880.937112
01/07/2013,885,20064.963184
01/07/2013,900,19791.681223
01/07/2013,915,19614.124876
01/07/2013,930,19221.134488
01/07/2013,945,18860.144332
01/07/2013,960,18507.840706
01/07/2013,975,17795.444296
01/07/2013,990,18179.739405
01/07/2013,1005,18505.125823
01/07/2013,1020,18890.54291
01/07/2013,1035,18542.868126
01/07/2013,1050,18617.662124
01/07/2013,1065,18571.48141
01/07/2013,1080,18458.254085
01/07/2013,1095,18190.438786
01/07/2013,1110,17691.161883
01/07/2013,1125,17518.909728
01/07/2013,1140,17422.669662
01/07/2013,1155,17612.407863
01/07/2013,1170,17285.637994
01/07/2013,1185,16860.92206
01/07/2013,1200,15724.544674
01/07/2013,1215,15332.035871
01/07/2013,1230,15382.25005
01/07/2013,1245,15162.766169
01/07/2013,1260,15045.093448
01/07/2013,1275,14834.769211
01/07/2013,1290,14567.347384
01/07/2013,1305,14322.554241
01/07/2013,1320,14108.796518
02/07/2013,-105,13807.929731
02/07/2013,-90,13619.165854
02/07/2013,-75,13344.091128
02/07/2013,-60,13227.209211
02/07/2013,-45,13267.210703
02/07/2013,-30,13241.873628
02/07/2013,-15,13672.38737
02/07/2013,0,13629.782282
02/07/2013,15,13779.812087
02/07/2013,30,13743.48705
02/07/2013,45,13539.150736
02/07/2013,60,13390.265725
02/07/2013,75,13557.569617
02/07/2013,90,13526.77267
02/07/2013,105,13620.559031
02/07/2013,120,13748.463913
02/07/2013,135,14050.968715
02/07/2013,150,14008.281547
02/07/2013,165,14149.62849
02/07/2013,180,14118.62621
02/07/2013,195,14273.299819
02/07/2013,210,14407.860846
02/07/2013,225,14701.222048
02/07/2013,240,15419.295552
02/07/2013,255,17517.332467
02/07/2013,270,18588.420898
02/07/2013,285,19388.152753
02/07/2013,300,20376.348093
02/07/2013,315,21272.942676
02/07/2013,330,21827.117424
02/07/2013,345,21961.731683
02/07/2013,360,22194.722218
02/07/2013,375,21871.662168
02/07/2013,390,22304.419764
02/07/2013,405,22765.617103
02/07/2013,420,22846.449395
02/07/2013,435,22896.791882
02/07/2013,450,23416.963352
02/07/2013,465,23114.625919
02/07/2013,480,23274.663485
02/07/2013,495,23293.564884
02/07/2013,510,23209.564539
02/07/2013,525,22367.275356
02/07/2013,540,22288.659305
02/07/2013,555,22518.945254
02/07/2013,570,22498.387959
02/07/2013,585,22627.81798
02/07/2013,600,22835.54682
02/07/2013,615,22784.029528
02/07/2013,630,22974.987936
02/07/2013,645,22641.353272
02/07/2013,660,22625.794273
02/07/2013,675,22348.919072
02/07/2013,690,21828.46097
02/07/2013,705,21492.748756
02/07/2013,720,21101.38825
02/07/2013,735,21439.086631
02/07/2013,750,21870.314785
02/07/2013,765,21347.593052
02/07/2013,780,21093.273686
02/07/2013,795,21127.978779
02/07/2013,810,20562.971013
02/07/2013,825,20373.417853
02/07/2013,840,20262.817612
02/07/2013,855,20141.588383
02/07/2013,870,20074.116695
02/07/2013,885,20273.715523
02/07/2013,900,20329.344599
02/07/2013,915,19913.042156
02/07/2013,930,19349.425895
02/07/2013,945,18962.027197
02/07/2013,960,18514.240929
02/07/2013,975,18186.94847
02/07/2013,990,18507.863216
02/07/2013,1005,18747.675865
02/07/2013,1020,18988.198439
02/07/2013,1035,18909.766584
02/07/2013,1050,18843.723635
02/07/2013,1065,18603.763741
02/07/2013,1080,18423.275759
02/07/2013,1095,18288.395392
02/07/2013,1110,18187.736252
02/07/2013,1125,17781.44118
02/07/2013,1140,17671.912254
02/07/2013,1155,17908.93707
02/07/2013,1170,17480.600932
02/07/2013,1185,16539.56638
02/07/2013,1200,15560.181233
02/07/2013,1215,15409.19828
02/07/2013,1230,15195.534633
02/07/2013,1245,14983.095828
02/07/2013,1260,15081.998639
02/07/2013,1275,15051.016485
02/07/2013,1290,14953.052277
02/07/2013,1305,15014.009845
02/07/2013,1320,14717.550201
03/07/2013,-105,14622.574153
03/07/2013,-90,14131.857116
03/07/2013,-75,13916.413972
03/07/2013,-60,13645.212438
03/07/2013,-45,13371.748177
03/07/2013,-30,13390.352676
03/07/2013,-15,13413.217333
03/07/2013,0,13649.612904
03/07/2013,15,13355.553486
03/07/2013,30,13657.679276
03/07/2013,45,13697.639512
03/07/2013,60,13617.45558
03/07/2013,75,13721.550939
03/07/2013,90,13675.773906
03/07/2013,105,13773.170701
03/07/2013,120,13685.928843
03/07/2013,135,14320.966338
03/07/2013,150,14005.058801
03/07/2013,165,13776.641092
03/07/2013,180,13802.829782
03/07/2013,195,13956.450607
03/07/2013,210,14044.48698
03/07/2013,225,14545.228665
03/07/2013,240,15405.108962
03/07/2013,255,17640.003738
03/07/2013,270,19273.176893
03/07/2013,285,20023.406243
03/07/2013,300,20755.485385
03/07/2013,315,21464.073163
03/07/2013,330,21713.79295
03/07/2013,345,22128.999417
03/07/2013,360,22536.911869
03/07/2013,375,22494.932546
03/07/2013,390,22744.767065
03/07/2013,405,23275.218108
03/07/2013,420,23649.494283
03/07/2013,435,23314.078967
03/07/2013,450,23333.936425
03/07/2013,465,23357.946659
03/07/2013,480,23324.459626
03/07/2013,495,22933.605546
03/07/2013,510,22955.157094
03/07/2013,525,22557.588184
