DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,7454.710061
01/07/2013,-90,7544.746586
01/07/2013,-75,7457.086793
01/07/2013,-60,7376.606518
01/07/2013,-45,7532.111863
01/07/2013,-30,7429.420629
01/07/2013,-15,7381.839742
01/07/2013,0,7449.502984
01/07/2013,15,7515.36742
01/07/2013,30,7411.952168
01/07/2013,45,7412.967149
01/07/2013,60,7188.338132
01/07/2013,75,7228.565143
01/07/2013,90,7302.241738
01/07/2013,105,7245.124427
01/07/2013,120,7223.718858
01/07/2013,135,7358.083895
01/07/2013,150,7295.568065
01/07/2013,165,7364.832439
01/07/2013,180,7541.261104
01/07/2013,195,8012.900345
01/07/2013,210,8464.8018
01/07/2013,225,9100.500229
01/07/2013,240,10227.897841
01/07/2013,255,11941.098744
01/07/2013,270,13160.53802
01/07/2013,285,13777.801825
01/07/2013,300,14516.309375
01/07/2013,315,14936.323914
01/07/2013,330,15290.230616
01/07/2013,345,15412.39783
01/07/2013,360,15458.168428
01/07/2013,375,15643.666239
01/07/2013,390,15913.105332
01/07/2013,405,16104.671801
01/07/2013,420,16169.687949
01/07/2013,435,16233.430288
01/07/2013,450,16297.997494
01/07/2013,465,16515.729507
01/07/2013,480,16161.45074
01/07/2013,495,15728.118079
01/07/2013,510,15530.83805
01/07/2013,525,15458.493831
01/07/2013,540,15569.884193
01/07/2013,555,15749.060532
01/07/2013,570,15765.337196
01/07/2013,585,16162.020663
01/07/2013,600,16206.521075
01/07/2013,615,16136.287188
01/07/2013,630,16187.374257
01/07/2013,645,16329.431313
01/07/2013,660,16344.514097
01/07/2013,675,16436.797248
01/07/2013,690,15829.928055
01/07/2013,705,15013.121291
01/07/2013,720,14522.179833
01/07/2013,735,14651.57435
01/07/2013,750,14518.696244
01/07/2013,765,14429.765838
01/07/2013,780,14276.752971
01/07/2013,795,14351.531288
01/07/2013,810,14163.068672
01/07/2013,825,13933.706526
01/07/2013,840,13514.990714
01/07/2013,855,13580.864272
01/07/2013,870,13486.159508
01/07/2013,885,13149.924546
01/07/2013,900,12995.146285
