DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,6729.290636
01/07/2013,-90,6630.797745
01/07/2013,-75,6601.59574
01/07/2013,-60,6607.433294
01/07/2013,-45,6540.396882
01/07/2013,-30,6646.837639
01/07/2013,-15,6576.463455
01/07/2013,0,6584.034107
01/07/2013,15,6516.495194
01/07/2013,30,6533.853451
01/07/2013,45,6528.019856
01/07/2013,60,6546.118898
01/07/2013,75,6757.325715
01/07/2013,90,6661.027433
01/07/2013,105,6737.219652
01/07/2013,120,7076.282722
01/07/2013,135,6992.898669
01/07/2013,150,6910.477372
01/07/2013,165,6803.862389
01/07/2013,180,6982.578926
01/07/2013,195,7211.557711
01/07/2013,210,7395.257481
01/07/2013,225,8032.054925
01/07/2013,240,8723.817266
01/07/2013,255,9761.013791
01/07/2013,270,10388.733861
01/07/2013,285,10918.8529
01/07/2013,300,11339.229446
01/07/2013,315,11719.459369
01/07/2013,330,12010.222461
01/07/2013,345,12289.785726
01/07/2013,360,12345.643855
01/07/2013,375,12673.895629
01/07/2013,390,12815.152611
01/07/2013,405,12699.327265
01/07/2013,420,12895.053395
01/07/2013,435,13372.530402
01/07/2013,450,13482.630971
01/07/2013,465,13364.527875
01/07/2013,480,13584.278752
01/07/2013,495,13684.247801
01/07/2013,510,13321.077943
01/07/2013,525,13097.337086
01/07/2013,540,13053.257674
01/07/2013,555,12764.227432
01/07/2013,570,12661.748548
01/07/2013,585,12941.471882
01/07/2013,600,13190.644832
01/07/2013,615,13236.387472
01/07/2013,630,13260.107057
01/07/2013,645,13114.667745
01/07/2013,660,13123.869828
01/07/2013,675,13149.470129
01/07/2013,690,13367.149959
01/07/2013,705,13489.468802
01/07/2013,720,13142.254884
01/07/2013,735,12958.004424
01/07/2013,750,12896.543641
01/07/2013,765,12548.873206
01/07/2013,780,12776.906061
01/07/2013,795,12361.586051
01/07/2013,810,12066.979485
01/07/2013,825,12194.808146
01/07/2013,840,12125.190138
01/07/2013,855,11845.555452
01/07/2013,870,11773.241102
01/07/2013,885,11530.545651
01/07/2013,900,11553.092756
01/07/2013,915,11270.261351
01/07/2013,930,11141.710174
01/07/2013,945,11113.468394
01/07/2013,960,10930.339907
01/07/2013,975,10784.732355
01/07/2013,990,10766.568439
01/07/2013,1005,10843.894459
01/07/2013,1020,10906.499577
01/07/2013,1035,10745.63765
01/07/2013,1050,10815.716186
01/07/2013,1065,10772.824989
01/07/2013,1080,10714.181633
01/07/2013,1095,10756.339743
01/07/2013,1110,10491.051639
01/07/2013,1125,10152.045982
01/07/2013,1140,10351.827046
01/07/2013,1155,10317.50572
01/07/2013,1170,10098.838131
01/07/2013,1185,9922.318112
01/07/2013,1200,9594.155641
01/07/2013,1215,9292.022269
01/07/2013,1230,9181.538815
01/07/2013,1245,8933.203428
01/07/2013,1260,9054.331031
01/07/2013,1275,9099.25814
01/07/2013,1290,9031.734066
01/07/2013,1305,8897.485925
01/07/2013,1320,8840.770886
02/07/2013,-105,8781.326344
02/07/2013,-90,8763.379164
02/07/2013,-75,8681.893194
02/07/2013,-60,8703.638375
02/07/2013,-45,8645.867365
02/07/2013,-30,8618.441572
02/07/2013,-15,8532.836285
02/07/2013,0,8482.548847
02/07/2013,15,8385.369353
02/07/2013,30,8320.72005
02/07/2013,45,8142.14795
02/07/2013,60,8233.626907
02/07/2013,75,8262.720548
02/07/2013,90,8326.900524
02/07/2013,105,8324.11361
02/07/2013,120,8297.39623
02/07/2013,135,8219.496935
02/07/2013,150,8185.217952
02/07/2013,165,8052.023987
02/07/2013,180,8148.923823
02/07/2013,195,8250.806075
02/07/2013,210,8492.521674
02/07/2013,225,8876.462726
02/07/2013,240,9549.509781
02/07/2013,255,10230.252
02/07/2013,270,10700.174049
02/07/2013,285,11368.619735
02/07/2013,300,11906.960483
02/07/2013,315,12291.037086
02/07/2013,330,12760.819303
02/07/2013,345,13062.020266
02/07/2013,360,13172.139834
