DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,12348.309052
01/07/2013,-90,12287.451958
01/07/2013,-75,12390.689823
01/07/2013,-60,12833.989299
01/07/2013,-45,12538.48799
01/07/2013,-30,12531.885118
01/07/2013,-15,12662.515314
01/07/2013,0,12203.386318
01/07/2013,15,11635.828315
01/07/2013,30,11538.841744
01/07/2013,45,11979.255782
01/07/2013,60,12267.139451
01/07/2013,75,12306.577292
01/07/2013,90,12219.876113
01/07/2013,105,12544.658483
01/07/2013,120,12520.728289
01/07/2013,135,12679.332307
01/07/2013,150,12607.161863
01/07/2013,165,12531.099434
01/07/2013,180,12735.248867
01/07/2013,195,13293.843131
01/07/2013,210,13597.447603
01/07/2013,225,14300.753852
01/07/2013,240,15225.429126
01/07/2013,255,16857.832092
01/07/2013,270,18575.312996
01/07/2013,285,19660.768142
01/07/2013,300,20974.920604
01/07/2013,315,21892.402563
01/07/2013,330,22734.61548
01/07/2013,345,23181.171545
01/07/2013,360,23768.362492
01/07/2013,375,24193.815849
01/07/2013,390,24579.00054
01/07/2013,405,25025.399669
01/07/2013,420,25641.868281
01/07/2013,435,25903.897743
01/07/2013,450,25965.050318
01/07/2013,465,25538.275245
01/07/2013,480,25450.651307
01/07/2013,495,25081.222596
01/07/2013,510,25070.516326
01/07/2013,525,25262.642866
01/07/2013,540,24794.254715
01/07/2013,555,23872.951286
01/07/2013,570,24285.916891
01/07/2013,585,25370.845663
01/07/2013,600,26007.897719
01/07/2013,615,26364.843221
01/07/2013,630,26372.926621
01/07/2013,645,26624.735516
01/07/2013,660,26540.444567
01/07/2013,675,27096.64139
01/07/2013,690,26858.148702
01/07/2013,705,26169.026648
01/07/2013,720,25188.729909
01/07/2013,735,25076.364927
01/07/2013,750,25199.665437
01/07/2013,765,24984.671924
01/07/2013,780,24762.962644
01/07/2013,795,24301.431048
01/07/2013,810,23704.283335
01/07/2013,825,23070.193246
01/07/2013,840,22699.234259
01/07/2013,855,21961.311131
01/07/2013,870,21586.485523
01/07/2013,885,21481.147648
01/07/2013,900,21309.363365
01/07/2013,915,21011.993262
01/07/2013,930,20687.768055
01/07/2013,945,20460.222747
01/07/2013,960,20032.791395
01/07/2013,975,18144.357244
01/07/2013,990,17644.339714
01/07/2013,1005,18516.789597
01/07/2013,1020,18912.601372
01/07/2013,1035,18926.51001
01/07/2013,1050,18769.722395
01/07/2013,1065,18801.908407
01/07/2013,1080,18506.136411
01/07/2013,1095,18686.423439
01/07/2013,1110,18534.646307
01/07/2013,1125,18479.522117
01/07/2013,1140,18243.602088
01/07/2013,1155,18007.211079
01/07/2013,1170,18145.758038
01/07/2013,1185,17209.926904
01/07/2013,1200,15971.212304
01/07/2013,1215,15602.295652
01/07/2013,1230,14715.536641
01/07/2013,1245,15025.183612
01/07/2013,1260,15265.955039
01/07/2013,1275,15219.367528
01/07/2013,1290,15446.31758
01/07/2013,1305,15256.384289
01/07/2013,1320,15074.879631
02/07/2013,-105,14531.85238
02/07/2013,-90,14792.034223
02/07/2013,-75,14534.882446
02/07/2013,-60,14690.269448
02/07/2013,-45,14660.344435
02/07/2013,-30,14336.401206
02/07/2013,-15,14314.300282
02/07/2013,0,14117.272852
02/07/2013,15,13136.965374
02/07/2013,30,13110.986607
02/07/2013,45,13652.313056
02/07/2013,60,13820.117335
02/07/2013,75,13864.151435
02/07/2013,90,13721.601785
