DATUM,CAS,SUM_of_MNOZSTVO
01/10/2013,-105,5807.514392
01/10/2013,-90,5775.106814
01/10/2013,-75,5790.558812
01/10/2013,-60,5729.078471
01/10/2013,-45,5716.013869
01/10/2013,-30,5677.933723
01/10/2013,-15,5648.172336
01/10/2013,0,5578.812115
01/10/2013,15,5538.151941
01/10/2013,30,4940.769522
01/10/2013,45,5739.655382
01/10/2013,60,5720.804524
01/10/2013,75,5701.859876
01/10/2013,90,5674.035365
01/10/2013,105,5639.683505
01/10/2013,120,5642.134863
01/10/2013,135,5665.602497
01/10/2013,150,5643.694703
01/10/2013,165,5730.3391
01/10/2013,180,5794.107261
01/10/2013,195,5785.707501
01/10/2013,210,5859.447835
01/10/2013,225,6061.621772
01/10/2013,240,5525.350228
01/10/2013,255,6170.467009
01/10/2013,270,6619.566213
01/10/2013,285,7030.960149
01/10/2013,300,7257.549306
01/10/2013,315,7609.864961
01/10/2013,330,7838.770424
01/10/2013,345,8020.517568
01/10/2013,360,8169.626119
01/10/2013,375,8232.048745
01/10/2013,390,8083.052989
01/10/2013,405,8034.912902
01/10/2013,420,8263.983347
01/10/2013,435,8286.110581
01/10/2013,450,8283.691875
01/10/2013,465,8291.309389
01/10/2013,480,8176.057173
01/10/2013,495,7850.771411
01/10/2013,510,7617.520944
01/10/2013,525,7474.143143
01/10/2013,540,7345.174404
01/10/2013,555,7311.647545
01/10/2013,570,7247.03421
01/10/2013,585,7330.239938
01/10/2013,600,7493.357541
01/10/2013,615,7662.533434
01/10/2013,630,7769.191587
01/10/2013,645,7850.766182
01/10/2013,660,7867.138537
01/10/2013,675,7826.272222
01/10/2013,690,7741.619767
01/10/2013,705,7568.631433
01/10/2013,720,7394.970758
01/10/2013,735,7273.921212
01/10/2013,750,7194.205634
01/10/2013,765,7068.133652
01/10/2013,780,7034.978875
01/10/2013,795,6942.532559
01/10/2013,810,6908.106556
01/10/2013,825,6705.960383
01/10/2013,840,6651.748645
01/10/2013,855,6602.589525
01/10/2013,870,6527.914298
01/10/2013,885,6485.256629
01/10/2013,900,6481.799777
01/10/2013,915,6523.049014
01/10/2013,930,6518.995786
01/10/2013,945,6414.881696
01/10/2013,960,6322.456126
01/10/2013,975,6084.724551
01/10/2013,990,6080.57169
01/10/2013,1005,6298.472626
01/10/2013,1020,6410.158233
01/10/2013,1035,6480.80579
01/10/2013,1050,6429.009505
01/10/2013,1065,6352.100083
01/10/2013,1080,6294.776166
01/10/2013,1095,6139.26386
01/10/2013,1110,5996.765485
01/10/2013,1125,6086.364908
01/10/2013,1140,6024.379105
01/10/2013,1155,5799.790404
01/10/2013,1170,5763.414954
01/10/2013,1185,5619.50022
01/10/2013,1200,5410.15877
01/10/2013,1215,5247.87757
01/10/2013,1230,5907.540514
01/10/2013,1245,5866.142603
01/10/2013,1260,5811.350564
01/10/2013,1275,5786.492017
01/10/2013,1290,5762.004982
01/10/2013,1305,5779.984257
01/10/2013,1320,5761.76209
02/10/2013,-105,5838.535458
02/10/2013,-90,5828.195481
02/10/2013,-75,5882.035171
02/10/2013,-60,5773.381262
02/10/2013,-45,5724.069711
02/10/2013,-30,5653.593895
02/10/2013,-15,5632.308036
02/10/2013,0,5652.640324
02/10/2013,15,5334.650817
02/10/2013,30,5431.416139
02/10/2013,45,5718.349814
02/10/2013,60,5674.025245
02/10/2013,75,5661.98074
02/10/2013,90,5639.116543
02/10/2013,105,5629.080484
02/10/2013,120,5625.072918
02/10/2013,135,5682.030209
02/10/2013,150,5666.434847
02/10/2013,165,5671.77301
02/10/2013,180,5738.651455
02/10/2013,195,5848.476152
02/10/2013,210,5972.08316
02/10/2013,225,6158.844966
02/10/2013,240,5455.502284
02/10/2013,255,6136.988166
02/10/2013,270,6521.164046
02/10/2013,285,7035.276443
02/10/2013,300,7377.740297
02/10/2013,315,7622.904077
02/10/2013,330,7857.111657
02/10/2013,345,8238.846897
02/10/2013,360,8347.306748
02/10/2013,375,8332.007823
02/10/2013,390,8321.249336
02/10/2013,405,8356.738895
02/10/2013,420,8773.179723
02/10/2013,435,9194.0639
02/10/2013,450,9122.272803
02/10/2013,465,9144.099846
02/10/2013,480,9024.464195
02/10/2013,495,7949.227453
02/10/2013,510,7924.985222
02/10/2013,525,7652.853306
02/10/2013,540,7426.226249
02/10/2013,555,7396.45876
02/10/2013,570,7322.590328
02/10/2013,585,7613.100796
02/10/2013,600,7816.563124
02/10/2013,615,7982.290398
02/10/2013,630,7912.822358
02/10/2013,645,7812.197924
02/10/2013,660,7781.169365
02/10/2013,675,7850.14603
02/10/2013,690,7770.647164
02/10/2013,705,7656.94198
02/10/2013,720,7471.457636
02/10/2013,735,7336.759421
02/10/2013,750,7047.204975
02/10/2013,765,6852.043454
02/10/2013,780,7168.660763
02/10/2013,795,7020.455497
02/10/2013,810,6892.868229
02/10/2013,825,6672.667503
02/10/2013,840,6624.395511
02/10/2013,855,6590.54418
02/10/2013,870,6567.140113
02/10/2013,885,6593.221621
02/10/2013,900,6453.58323
02/10/2013,915,6384.80593
02/10/2013,930,6449.346921
02/10/2013,945,6293.664068
02/10/2013,960,6241.805772
02/10/2013,975,5881.989684
02/10/2013,990,6018.998142
02/10/2013,1005,6203.010008
02/10/2013,1020,6274.602142
02/10/2013,1035,6387.256525
02/10/2013,1050,6328.22232
02/10/2013,1065,6237.157531
02/10/2013,1080,6259.410442
02/10/2013,1095,6243.343472
02/10/2013,1110,6208.500765
02/10/2013,1125,6135.087367
02/10/2013,1140,6013.729619
02/10/2013,1155,5975.884969
02/10/2013,1170,5899.28612
02/10/2013,1185,5772.92835
02/10/2013,1200,5447.748918
02/10/2013,1215,5364.402483
02/10/2013,1230,5365.427037
02/10/2013,1245,5996.785051
02/10/2013,1260,6001.105149
02/10/2013,1275,5922.129702
02/10/2013,1290,5953.192589
02/10/2013,1305,5959.969444
02/10/2013,1320,5901.977236
03/10/2013,-105,5939.139459
03/10/2013,-90,5979.456431
03/10/2013,-75,5906.52371
03/10/2013,-60,5969.610884
03/10/2013,-45,5897.091847
03/10/2013,-30,5875.205159
03/10/2013,-15,5820.42908
03/10/2013,0,5811.290492
03/10/2013,15,5785.090036
03/10/2013,30,5159.054953
03/10/2013,45,5691.004813
03/10/2013,60,5840.398541
03/10/2013,75,5875.561106
03/10/2013,90,5896.579846
03/10/2013,105,5839.430082
03/10/2013,120,5857.953427
03/10/2013,135,5923.236148
03/10/2013,150,5917.538306
03/10/2013,165,5922.046213
03/10/2013,180,5965.947979
03/10/2013,195,6000.423723
03/10/2013,210,6147.233261
03/10/2013,225,6316.691176
03/10/2013,240,5755.585485
03/10/2013,255,6233.606223
03/10/2013,270,6719.341488
03/10/2013,285,7220.403178
03/10/2013,300,7495.975074
03/10/2013,315,7904.701935
03/10/2013,330,8209.503761
03/10/2013,345,8387.59849
03/10/2013,360,8486.499931
03/10/2013,375,8572.248294
03/10/2013,390,8418.657225
03/10/2013,405,8431.737724
03/10/2013,420,8623.841273
03/10/2013,435,8569.553558
03/10/2013,450,8540.599452
03/10/2013,465,8551.297783
03/10/2013,480,8569.382555
03/10/2013,495,8465.725358
03/10/2013,510,8318.556825
03/10/2013,525,8179.649357
03/10/2013,540,7871.871956
03/10/2013,555,7956.245711
03/10/2013,570,8010.629278
03/10/2013,585,8041.662933
03/10/2013,600,8140.255398
03/10/2013,615,8402.363616
03/10/2013,630,8314.915802
03/10/2013,645,8212.48037
03/10/2013,660,8111.083527
03/10/2013,675,7958.687447
03/10/2013,690,7789.159981
03/10/2013,705,7702.019033
03/10/2013,720,7536.72605
03/10/2013,735,7426.159867
03/10/2013,750,7209.447105
03/10/2013,765,7026.954078
03/10/2013,780,7234.92447
03/10/2013,795,7105.188652
03/10/2013,810,6992.641771
03/10/2013,825,6921.297533
03/10/2013,840,6782.027045
03/10/2013,855,6784.859073
03/10/2013,870,6704.075538
03/10/2013,885,6690.798113
03/10/2013,900,6652.375827
03/10/2013,915,6616.478937
03/10/2013,930,6533.860597
03/10/2013,945,6429.143267
03/10/2013,960,6335.488205
03/10/2013,975,6153.826517
03/10/2013,990,6204.891354
03/10/2013,1005,6435.997443
03/10/2013,1020,6530.101647
03/10/2013,1035,6598.648689
03/10/2013,1050,6567.225941
03/10/2013,1065,6539.591851
03/10/2013,1080,6433.957492
03/10/2013,1095,6324.260949
03/10/2013,1110,6240.559676
03/10/2013,1125,6237.230028
03/10/2013,1140,6119.984905
03/10/2013,1155,6065.634193
03/10/2013,1170,5940.236637
03/10/2013,1185,5721.623979
03/10/2013,1200,5457.602155
03/10/2013,1215,5349.702891
03/10/2013,1230,6006.120028
03/10/2013,1245,5999.457688
03/10/2013,1260,6032.856446
03/10/2013,1275,5979.395742
03/10/2013,1290,5909.491813
03/10/2013,1305,5952.66282
03/10/2013,1320,5895.518765
04/10/2013,-105,5781.183586
04/10/2013,-90,5787.505174
04/10/2013,-75,5842.802451
04/10/2013,-60,5840.90192
04/10/2013,-45,5838.014217
04/10/2013,-30,5784.8163
04/10/2013,-15,5738.414995
04/10/2013,0,5781.173969
04/10/2013,15,5700.360445
04/10/2013,30,5747.595514
04/10/2013,45,5711.606594
04/10/2013,60,5798.993546
04/10/2013,75,5819.275817
04/10/2013,90,5686.734738
04/10/2013,105,5710.246771
04/10/2013,120,5687.85471
04/10/2013,135,5690.520401
04/10/2013,150,5727.413246
04/10/2013,165,5734.894208
04/10/2013,180,5771.946056
04/10/2013,195,5883.407884
04/10/2013,210,5896.767278
04/10/2013,225,6082.791269
04/10/2013,240,5736.719966
