DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,29479.008858
01/07/2013,-90,29764.180966
01/07/2013,-75,29358.47616
01/07/2013,-60,29011.729329
01/07/2013,-45,28853.555036
01/07/2013,-30,28800.956788
01/07/2013,-15,28723.75904
01/07/2013,0,28884.120117
01/07/2013,15,29245.80435
01/07/2013,30,29086.098899
01/07/2013,45,28944.170458
01/07/2013,60,28990.794666
01/07/2013,75,29049.715598
01/07/2013,90,29376.857383
01/07/2013,105,29695.73348
01/07/2013,120,29732.453214
01/07/2013,135,29573.956033
01/07/2013,150,30194.570247
01/07/2013,165,30280.628241
01/07/2013,180,30856.194648
01/07/2013,195,31115.263854
01/07/2013,210,30786.0407
01/07/2013,225,31733.984133
01/07/2013,240,33501.794275
01/07/2013,255,39164.598415
01/07/2013,270,42827.132308
01/07/2013,285,44533.913523
01/07/2013,300,46398.803345
01/07/2013,315,48145.170433
01/07/2013,330,49224.227284
01/07/2013,345,50745.00204
01/07/2013,360,51786.882225
01/07/2013,375,52213.81438
01/07/2013,390,52822.04601
01/07/2013,405,52750.161265
01/07/2013,420,53398.884629
01/07/2013,435,53900.805772
01/07/2013,450,54130.250506
01/07/2013,465,54335.369545
01/07/2013,480,54116.337513
01/07/2013,495,53073.723415
01/07/2013,510,52942.281051
01/07/2013,525,53665.285485
01/07/2013,540,54150.834316
01/07/2013,555,53790.416163
01/07/2013,570,53054.245318
01/07/2013,585,53138.533266
01/07/2013,600,53667.035857
01/07/2013,615,53583.100684
01/07/2013,630,53891.401583
01/07/2013,645,54722.511513
01/07/2013,660,55526.877944
01/07/2013,675,55190.776133
01/07/2013,690,54340.622211
01/07/2013,705,52835.101321
01/07/2013,720,50808.427515
01/07/2013,735,51182.911461
01/07/2013,750,51450.311861
01/07/2013,765,51483.736305
01/07/2013,780,51049.878363
01/07/2013,795,50497.527331
01/07/2013,810,49572.076867
01/07/2013,825,49187.878533
01/07/2013,840,48535.824773
01/07/2013,855,47782.991155
01/07/2013,870,48737.645404
01/07/2013,885,48242.904423
01/07/2013,900,47935.895018
01/07/2013,915,47629.99817
01/07/2013,930,46815.918375
01/07/2013,945,45701.210401
01/07/2013,960,44354.72267
01/07/2013,975,43541.303665
01/07/2013,990,43957.189015
01/07/2013,1005,43975.67481
01/07/2013,1020,43891.11626
01/07/2013,1035,44218.86434
01/07/2013,1050,44597.708408
01/07/2013,1065,44955.441266
01/07/2013,1080,45259.903142
01/07/2013,1095,44276.055502
01/07/2013,1110,44371.967652
01/07/2013,1125,43804.086163
01/07/2013,1140,43739.545249
01/07/2013,1155,42880.543529
01/07/2013,1170,42984.498176
01/07/2013,1185,41868.857667
01/07/2013,1200,40435.403031
01/07/2013,1215,40303.752925
01/07/2013,1230,40496.118264
01/07/2013,1245,40269.935248
01/07/2013,1260,40109.620933
01/07/2013,1275,39552.691132
01/07/2013,1290,39268.590857
01/07/2013,1305,38763.262093
01/07/2013,1320,38938.579754
02/07/2013,-105,39104.777899
02/07/2013,-90,39290.251137
02/07/2013,-75,39126.700841
02/07/2013,-60,38799.999774
02/07/2013,-45,38094.469345
02/07/2013,-30,37407.365201
02/07/2013,-15,36658.605138
02/07/2013,0,36332.843231
02/07/2013,15,36590.434683
02/07/2013,30,37382.308587
02/07/2013,45,38221.001331
