DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,59327.87094
01/07/2013,-90,59964.590531
01/07/2013,-75,60261.885709
01/07/2013,-60,59299.230589
01/07/2013,-45,58678.714307
01/07/2013,-30,58539.705156
01/07/2013,-15,58532.823814
01/07/2013,0,59588.112438
01/07/2013,15,59037.153633
01/07/2013,30,58235.579561
01/07/2013,45,58653.204638
01/07/2013,60,59772.88674
01/07/2013,75,61191.708838
01/07/2013,90,61379.531808
01/07/2013,105,60196.595247
01/07/2013,120,60465.173269
01/07/2013,135,61105.456082
01/07/2013,150,61138.084411
01/07/2013,165,60344.031165
01/07/2013,180,60646.835189
01/07/2013,195,61722.204317
01/07/2013,210,61371.782297
01/07/2013,225,63292.508139
01/07/2013,240,66122.754754
01/07/2013,255,69974.796351
01/07/2013,270,73395.896967
01/07/2013,285,75643.63495
01/07/2013,300,77270.639147
01/07/2013,315,78747.346881
01/07/2013,330,78776.795357
01/07/2013,345,79327.738643
01/07/2013,360,81279.77256
01/07/2013,375,83355.07296
01/07/2013,390,83844.317831
01/07/2013,405,85934.904012
01/07/2013,420,86823.607863
01/07/2013,435,85738.997439
01/07/2013,450,85517.906233
01/07/2013,465,84813.948239
01/07/2013,480,86277.666202
01/07/2013,495,86252.531504
01/07/2013,510,86311.61954
01/07/2013,525,85551.751502
01/07/2013,540,84789.085458
01/07/2013,555,85777.348363
01/07/2013,570,85928.492128
01/07/2013,585,85042.616541
01/07/2013,600,83942.317113
01/07/2013,615,85124.250416
01/07/2013,630,85351.056233
01/07/2013,645,84980.173962
01/07/2013,660,84512.189442
01/07/2013,675,85388.759791
01/07/2013,690,85493.797774
01/07/2013,705,84906.392332
01/07/2013,720,83540.421243
01/07/2013,735,81992.358541
01/07/2013,750,81370.954165
01/07/2013,765,83001.046352
01/07/2013,780,83390.70239
01/07/2013,795,83622.901146
01/07/2013,810,83514.07955
01/07/2013,825,82027.077849
01/07/2013,840,81736.582208
01/07/2013,855,80890.339377
01/07/2013,870,80360.835094
01/07/2013,885,80405.982178
