DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,21206.572781
01/07/2013,-90,21142.181715
01/07/2013,-75,21006.305001
01/07/2013,-60,20840.114195
01/07/2013,-45,20932.598036
01/07/2013,-30,20951.552283
01/07/2013,-15,20783.880987
01/07/2013,0,20689.236276
01/07/2013,15,20320.653086
01/07/2013,30,20175.935639
01/07/2013,45,20667.098315
01/07/2013,60,20784.540134
01/07/2013,75,21032.917524
01/07/2013,90,20898.555126
01/07/2013,105,21167.117811
01/07/2013,120,20942.326885
01/07/2013,135,20869.944703
01/07/2013,150,21100.220856
01/07/2013,165,21266.223407
01/07/2013,180,21452.965946
01/07/2013,195,21763.277268
01/07/2013,210,21722.037007
01/07/2013,225,22034.940537
01/07/2013,240,23132.649443
01/07/2013,255,25762.054293
01/07/2013,270,26908.989999
01/07/2013,285,27644.947646
01/07/2013,300,28198.896081
01/07/2013,315,29409.454603
01/07/2013,330,29772.532214
01/07/2013,345,30080.062063
01/07/2013,360,30362.577211
01/07/2013,375,30660.6042
01/07/2013,390,31168.337909
01/07/2013,405,31331.245301
01/07/2013,420,31809.697257
01/07/2013,435,31941.342933
01/07/2013,450,32162.635229
01/07/2013,465,32165.575444
01/07/2013,480,32634.252945
01/07/2013,495,32267.020671
01/07/2013,510,32910.742749
01/07/2013,525,32481.324626
01/07/2013,540,31816.326746
01/07/2013,555,31410.086654
01/07/2013,570,30661.400165
01/07/2013,585,31028.955123
01/07/2013,600,31892.842226
01/07/2013,615,32209.962986
01/07/2013,630,32433.512914
01/07/2013,645,32990.622483
01/07/2013,660,33066.848663
01/07/2013,675,33701.655876
01/07/2013,690,33347.581285
01/07/2013,705,32562.33583
01/07/2013,720,31655.617857
01/07/2013,735,32273.113703
01/07/2013,750,32076.810208
01/07/2013,765,31699.009329
01/07/2013,780,31691.615241
01/07/2013,795,30817.609099
01/07/2013,810,30451.12285
01/07/2013,825,30613.081685
01/07/2013,840,30405.899884
01/07/2013,855,30205.656467
01/07/2013,870,30175.140222
01/07/2013,885,30052.189929
01/07/2013,900,30191.251348
01/07/2013,915,29477.140306
01/07/2013,930,29423.43768
01/07/2013,945,28941.975863
01/07/2013,960,28681.374944
01/07/2013,975,28534.252558
01/07/2013,990,28518.840253
01/07/2013,1005,28301.437178
01/07/2013,1020,28458.951334
01/07/2013,1035,28319.560945
01/07/2013,1050,27904.036247
01/07/2013,1065,28177.026195
01/07/2013,1080,27929.94049
01/07/2013,1095,27636.704083
01/07/2013,1110,27519.110938
01/07/2013,1125,27632.189049
01/07/2013,1140,27060.095754
01/07/2013,1155,27277.900285
01/07/2013,1170,27297.285894
01/07/2013,1185,27247.30968
01/07/2013,1200,25841.679892
01/07/2013,1215,26024.868259
01/07/2013,1230,25942.88931
01/07/2013,1245,25850.171715
01/07/2013,1260,25547.846823
01/07/2013,1275,25150.177832
01/07/2013,1290,24981.041494
01/07/2013,1305,24871.927812
01/07/2013,1320,24666.434004
02/07/2013,-105,24609.6012
02/07/2013,-90,24690.410666
02/07/2013,-75,24279.415549
02/07/2013,-60,24366.287034
02/07/2013,-45,23894.769195
02/07/2013,-30,23502.986724
02/07/2013,-15,23390.065538
02/07/2013,0,23214.363405
02/07/2013,15,22626.818644
02/07/2013,30,22495.864263
02/07/2013,45,22822.240028
02/07/2013,60,22684.116685
02/07/2013,75,22711.45293
02/07/2013,90,22903.060066
02/07/2013,105,22667.114187
02/07/2013,120,22847.533284
02/07/2013,135,22962.953356
02/07/2013,150,23258.52288
02/07/2013,165,23145.524012
02/07/2013,180,23157.635576
02/07/2013,195,23415.305119
02/07/2013,210,23308.473803
02/07/2013,225,23975.087412
02/07/2013,240,25041.004779
02/07/2013,255,27589.671274
02/07/2013,270,28576.122198
02/07/2013,285,30306.743675
02/07/2013,300,31069.403278
02/07/2013,315,32175.58286
02/07/2013,330,32981.499258
02/07/2013,345,32912.038007
02/07/2013,360,33550.116746
02/07/2013,375,34091.364841
02/07/2013,390,33632.470652
02/07/2013,405,34084.664164
02/07/2013,420,34686.691443
02/07/2013,435,34466.53331
02/07/2013,450,35031.348733
02/07/2013,465,35559.602566
02/07/2013,480,35327.217855
02/07/2013,495,35679.970009
02/07/2013,510,34917.793088
02/07/2013,525,35034.918704
02/07/2013,540,34572.781833
02/07/2013,555,33616.578805
02/07/2013,570,33697.267909
02/07/2013,585,34507.843175
02/07/2013,600,34824.023932
02/07/2013,615,34889.778563
02/07/2013,630,35244.640064
02/07/2013,645,35457.492594
02/07/2013,660,35844.68204
02/07/2013,675,35631.175036
02/07/2013,690,35750.684577
02/07/2013,705,35061.148612
02/07/2013,720,34075.464848
02/07/2013,735,33807.956783
02/07/2013,750,34195.222446
02/07/2013,765,34020.275694
02/07/2013,780,33091.969721
02/07/2013,795,32418.228926
02/07/2013,810,32760.989616
02/07/2013,825,32680.419409
02/07/2013,840,32300.572622
02/07/2013,855,32544.417679
02/07/2013,870,32656.564441
02/07/2013,885,32617.268429
02/07/2013,900,32126.969779
02/07/2013,915,31322.465173
02/07/2013,930,31185.410491
02/07/2013,945,30684.776452
02/07/2013,960,29560.085628
02/07/2013,975,29401.195302
02/07/2013,990,29672.120017
02/07/2013,1005,29832.219619
02/07/2013,1020,29991.206346
02/07/2013,1035,29889.802616
02/07/2013,1050,29695.607236
02/07/2013,1065,29442.918171
02/07/2013,1080,29090.768747
02/07/2013,1095,28730.899178
02/07/2013,1110,29125.776268
02/07/2013,1125,28994.998916
02/07/2013,1140,28809.874383
02/07/2013,1155,28713.961591
02/07/2013,1170,28706.865509
02/07/2013,1185,28174.737413
02/07/2013,1200,26837.06373
02/07/2013,1215,26861.970909
02/07/2013,1230,27117.310313
02/07/2013,1245,26964.321491
02/07/2013,1260,26409.696311
02/07/2013,1275,26414.298107
02/07/2013,1290,25932.411141
02/07/2013,1305,25347.644586
02/07/2013,1320,25307.995938
03/07/2013,-105,25513.556759
03/07/2013,-90,25504.7568
03/07/2013,-75,25369.421287
03/07/2013,-60,25247.50161
03/07/2013,-45,25058.389428
03/07/2013,-30,25096.866936
03/07/2013,-15,25176.942111
03/07/2013,0,24657.957874
03/07/2013,15,23831.298495
03/07/2013,30,23811.181467
03/07/2013,45,23947.232157
03/07/2013,60,23919.307843
03/07/2013,75,24302.488231
03/07/2013,90,24222.738536
03/07/2013,105,24590.032367
03/07/2013,120,24399.738312
03/07/2013,135,24429.410495
03/07/2013,150,24739.054005
03/07/2013,165,24736.675893
03/07/2013,180,24820.498876
03/07/2013,195,24579.153855
03/07/2013,210,24526.335405
03/07/2013,225,25211.613778
03/07/2013,240,25878.014816
03/07/2013,255,28024.158794
03/07/2013,270,29745.941363
03/07/2013,285,30636.758459
03/07/2013,300,31650.947077
03/07/2013,315,32438.387765
03/07/2013,330,33300.341658
03/07/2013,345,34174.801054
03/07/2013,360,34012.301796
03/07/2013,375,34353.404043
03/07/2013,390,34585.333366
03/07/2013,405,34720.217677
03/07/2013,420,35126.127365
03/07/2013,435,35397.87258
03/07/2013,450,36095.521731
03/07/2013,465,35963.561565
03/07/2013,480,36328.803259
03/07/2013,495,36661.294785
03/07/2013,510,35881.302267
03/07/2013,525,35872.849995
03/07/2013,540,35232.23284
03/07/2013,555,34636.353836
03/07/2013,570,35126.301698
03/07/2013,585,35908.810222
03/07/2013,600,36105.251481
03/07/2013,615,35698.651826
03/07/2013,630,35553.109822
03/07/2013,645,35751.176769
03/07/2013,660,36120.637727
03/07/2013,675,36113.249695
03/07/2013,690,36248.766825
03/07/2013,705,35758.182292
03/07/2013,720,34959.877656
03/07/2013,735,34672.541533
03/07/2013,750,34612.283984
03/07/2013,765,34314.597266
03/07/2013,780,34144.99525
03/07/2013,795,33275.139028
03/07/2013,810,33185.900886
03/07/2013,825,32809.048998
03/07/2013,840,32739.841052
03/07/2013,855,32392.845871
03/07/2013,870,32127.808794
03/07/2013,885,32177.072403
03/07/2013,900,31964.375206
03/07/2013,915,31674.485168
03/07/2013,930,31367.851801
03/07/2013,945,30884.428756
03/07/2013,960,30402.240449
03/07/2013,975,30167.136192
03/07/2013,990,30120.718907
03/07/2013,1005,29741.251044
03/07/2013,1020,29463.73418
03/07/2013,1035,29380.1804
03/07/2013,1050,29111.347718
03/07/2013,1065,28940.85541
03/07/2013,1080,29188.252404
03/07/2013,1095,28985.410258
03/07/2013,1110,28973.545825
03/07/2013,1125,29181.100916
03/07/2013,1140,29126.924423
03/07/2013,1155,29446.421425
03/07/2013,1170,29059.548688
03/07/2013,1185,28908.299615
03/07/2013,1200,28054.613199
03/07/2013,1215,27575.455306
03/07/2013,1230,28155.451823
03/07/2013,1245,28054.186276
03/07/2013,1260,27776.695783
03/07/2013,1275,27741.113749
03/07/2013,1290,27206.257437
03/07/2013,1305,27569.712264
03/07/2013,1320,27062.699898
04/07/2013,-105,25679.584827
04/07/2013,-90,26429.317184
04/07/2013,-75,25905.246583
04/07/2013,-60,25789.380333
04/07/2013,-45,25300.821911
04/07/2013,-30,25364.95256
04/07/2013,-15,24799.969971
04/07/2013,0,23512.532604
04/07/2013,15,22914.91527
04/07/2013,30,22842.705993
04/07/2013,45,23376.891275
04/07/2013,60,23962.81848
04/07/2013,75,23816.861437
04/07/2013,90,23741.700372
04/07/2013,105,23823.077263
04/07/2013,120,23732.80385
04/07/2013,135,23521.253209
04/07/2013,150,23305.051251
04/07/2013,165,23283.363158
04/07/2013,180,23120.255846
04/07/2013,195,23149.586388
04/07/2013,210,22963.033106
04/07/2013,225,23100.59356
