DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,28200.123194
01/07/2013,-90,28057.193659
01/07/2013,-75,27738.350489
01/07/2013,-60,27797.370322
01/07/2013,-45,28959.442629
01/07/2013,-30,29164.666485
01/07/2013,-15,29038.417525
01/07/2013,0,29102.475655
01/07/2013,15,28998.669169
01/07/2013,30,28886.04541
01/07/2013,45,28542.630183
01/07/2013,60,28433.590525
01/07/2013,75,28932.04672
01/07/2013,90,28965.50507
01/07/2013,105,28672.031216
01/07/2013,120,28936.33116
01/07/2013,135,28930.850638
01/07/2013,150,28800.885863
01/07/2013,165,28763.881117
01/07/2013,180,28196.748214
01/07/2013,195,28216.638917
01/07/2013,210,29554.098153
01/07/2013,225,31117.666365
01/07/2013,240,33717.280645
01/07/2013,255,37329.809846
01/07/2013,270,39816.807498
01/07/2013,285,42286.959944
01/07/2013,300,43995.865775
01/07/2013,315,45931.861464
01/07/2013,330,47043.653804
01/07/2013,345,48403.181059
01/07/2013,360,49294.82737
01/07/2013,375,49439.772345
01/07/2013,390,50367.42832
01/07/2013,405,51223.156938
01/07/2013,420,52068.054311
01/07/2013,435,52208.527385
01/07/2013,450,52546.453168
01/07/2013,465,53267.776333
01/07/2013,480,53496.692963
01/07/2013,495,54006.798756
01/07/2013,510,53647.276599
01/07/2013,525,53317.61392
01/07/2013,540,52875.414023
01/07/2013,555,51377.281966
01/07/2013,570,51049.502365
01/07/2013,585,52003.865943
01/07/2013,600,52794.776084
01/07/2013,615,53072.795059
01/07/2013,630,53855.450511
01/07/2013,645,53999.366833
01/07/2013,660,55008.518168
01/07/2013,675,55687.339561
01/07/2013,690,55867.118264
01/07/2013,705,55657.75887
01/07/2013,720,55210.618246
01/07/2013,735,54671.003871
01/07/2013,750,55253.464965
01/07/2013,765,54809.259699
01/07/2013,780,53791.988167
01/07/2013,795,52716.125276
01/07/2013,810,52216.072886
01/07/2013,825,52009.139053
01/07/2013,840,51458.027495
01/07/2013,855,51068.415933
01/07/2013,870,50582.598061
01/07/2013,885,49490.017086
01/07/2013,900,49085.132497
01/07/2013,915,48396.020579
01/07/2013,930,47250.162964
01/07/2013,945,46458.119866
01/07/2013,960,45979.772569
01/07/2013,975,45288.097361
01/07/2013,990,44564.519501
01/07/2013,1005,44458.628215
01/07/2013,1020,44149.121294
01/07/2013,1035,44327.200836
01/07/2013,1050,44305.623285
01/07/2013,1065,44396.8995
01/07/2013,1080,44398.526686
01/07/2013,1095,44628.380603
01/07/2013,1110,44277.83143
01/07/2013,1125,44187.256964
01/07/2013,1140,43954.076023
01/07/2013,1155,43061.529682
01/07/2013,1170,42007.250527
01/07/2013,1185,40893.521057
01/07/2013,1200,40227.937018
01/07/2013,1215,39287.766579
01/07/2013,1230,38530.646793
01/07/2013,1245,37944.271572
01/07/2013,1260,37259.004749
01/07/2013,1275,36829.067517
01/07/2013,1290,36933.829447
01/07/2013,1305,36643.618895
01/07/2013,1320,36140.847693
02/07/2013,-105,35184.030026
02/07/2013,-90,35139.523727
02/07/2013,-75,35108.494997
02/07/2013,-60,35098.947492
02/07/2013,-45,35108.471448
02/07/2013,-30,35293.650441
02/07/2013,-15,35429.132484
02/07/2013,0,35181.67612
02/07/2013,15,34923.03913
02/07/2013,30,34429.481238
02/07/2013,45,34308.37965
02/07/2013,60,34350.759181
02/07/2013,75,34071.568065
02/07/2013,90,34402.179052
02/07/2013,105,34853.324893
02/07/2013,120,35112.868034
02/07/2013,135,35206.404422
02/07/2013,150,34625.714122
02/07/2013,165,33977.243578
02/07/2013,180,33081.407646
02/07/2013,195,33489.941949
02/07/2013,210,34480.070132
02/07/2013,225,35468.571018
02/07/2013,240,37609.91048
02/07/2013,255,41032.210664
02/07/2013,270,43357.116896
02/07/2013,285,45408.378874
02/07/2013,300,46107.557786
02/07/2013,315,48389.049905
02/07/2013,330,49486.617989
02/07/2013,345,50222.022199
02/07/2013,360,50699.911826
02/07/2013,375,51833.700895
02/07/2013,390,52724.62756
02/07/2013,405,53731.43422
02/07/2013,420,54938.156186
02/07/2013,435,55196.210103
02/07/2013,450,55564.909631
02/07/2013,465,55871.432694
02/07/2013,480,56682.448011
02/07/2013,495,57007.660861
02/07/2013,510,58096.426641
02/07/2013,525,57634.610489
02/07/2013,540,56301.276684
02/07/2013,555,54839.300056
02/07/2013,570,54323.483623
02/07/2013,585,55049.693218
02/07/2013,600,55814.949327
02/07/2013,615,56183.566634
02/07/2013,630,56056.298036
02/07/2013,645,57672.084075
02/07/2013,660,58122.852279
02/07/2013,675,58079.283016
02/07/2013,690,58080.786258
02/07/2013,705,57866.375867
02/07/2013,720,57338.780211
02/07/2013,735,56816.049029
02/07/2013,750,55827.628842
02/07/2013,765,55175.890266
02/07/2013,780,53983.380529
02/07/2013,795,53617.071299
02/07/2013,810,52977.92811
02/07/2013,825,53036.974738
02/07/2013,840,52867.346157
02/07/2013,855,53054.985766
02/07/2013,870,51085.233196
02/07/2013,885,50932.189349
02/07/2013,900,50081.835706
02/07/2013,915,49104.49174
02/07/2013,930,49240.12769
02/07/2013,945,49088.43181
02/07/2013,960,48006.742146
02/07/2013,975,47128.93144
02/07/2013,990,45413.832925
02/07/2013,1005,46253.217281
02/07/2013,1020,46661.666801
02/07/2013,1035,46429.271669
02/07/2013,1050,46609.528959
02/07/2013,1065,47006.891327
02/07/2013,1080,47322.784957
02/07/2013,1095,47043.167881
02/07/2013,1110,46661.541914
02/07/2013,1125,46395.675386
02/07/2013,1140,46477.788523
02/07/2013,1155,45875.427521
02/07/2013,1170,44564.024783
02/07/2013,1185,43415.396187
02/07/2013,1200,42468.641622
02/07/2013,1215,40988.729083
02/07/2013,1230,40337.790608
02/07/2013,1245,39719.747698
02/07/2013,1260,39006.076363
02/07/2013,1275,38509.182625
02/07/2013,1290,38067.520614
02/07/2013,1305,37675.772425
02/07/2013,1320,37994.483562
03/07/2013,-105,37346.63119
03/07/2013,-90,37085.545118
03/07/2013,-75,36557.493885
03/07/2013,-60,37443.283799
03/07/2013,-45,37919.395358
03/07/2013,-30,37750.190935
03/07/2013,-15,36735.463386
03/07/2013,0,36282.833406
03/07/2013,15,36070.542768
03/07/2013,30,36323.799426
03/07/2013,45,36468.370572
03/07/2013,60,36543.497214
03/07/2013,75,36478.822318
03/07/2013,90,36492.369186
03/07/2013,105,36491.156227
03/07/2013,120,36077.956574
03/07/2013,135,36110.210597
03/07/2013,150,35791.279016
03/07/2013,165,36230.1739
03/07/2013,180,36310.454115
03/07/2013,195,35819.449441
03/07/2013,210,35805.267164
03/07/2013,225,37007.372049
03/07/2013,240,38380.185613
03/07/2013,255,41234.404963
03/07/2013,270,43995.995063
03/07/2013,285,45688.95254
03/07/2013,300,47683.342464
03/07/2013,315,50024.447654
03/07/2013,330,50567.258142
03/07/2013,345,51567.237761
03/07/2013,360,52327.27921
03/07/2013,375,53540.323414
03/07/2013,390,54767.194015
03/07/2013,405,55152.554855
03/07/2013,420,56031.702415
03/07/2013,435,56365.046342
03/07/2013,450,56922.943774
03/07/2013,465,56734.447201
03/07/2013,480,57415.508669
03/07/2013,495,56616.835431
03/07/2013,510,56891.553596
03/07/2013,525,57364.0163
03/07/2013,540,56450.979425
03/07/2013,555,56284.354282
03/07/2013,570,56230.438975
03/07/2013,585,56862.880848
03/07/2013,600,57803.732367
03/07/2013,615,58029.892878
03/07/2013,630,58490.317527
03/07/2013,645,59733.027461
03/07/2013,660,59778.270654
03/07/2013,675,60149.011367
03/07/2013,690,60093.505092
03/07/2013,705,59672.103233
03/07/2013,720,58908.184208
03/07/2013,735,58390.319236
03/07/2013,750,58135.115662
03/07/2013,765,57541.701232
03/07/2013,780,56693.364176
03/07/2013,795,56073.370933
03/07/2013,810,56025.806752
03/07/2013,825,55308.767031
03/07/2013,840,54365.440184
03/07/2013,855,53671.547627
03/07/2013,870,53322.842097
03/07/2013,885,52848.849424
03/07/2013,900,52480.052207
03/07/2013,915,51882.064057
03/07/2013,930,51376.23222
03/07/2013,945,50318.938406
03/07/2013,960,49243.908192
03/07/2013,975,48273.811205
03/07/2013,990,47415.917084
03/07/2013,1005,46926.714368
03/07/2013,1020,47157.109273
03/07/2013,1035,47461.704036
03/07/2013,1050,47454.846077
03/07/2013,1065,47790.665669
03/07/2013,1080,47728.341222
03/07/2013,1095,47788.078066
03/07/2013,1110,46996.920745
03/07/2013,1125,47002.303851
03/07/2013,1140,46575.284215
03/07/2013,1155,45839.406619
03/07/2013,1170,44947.480824
03/07/2013,1185,43449.215528
03/07/2013,1200,42253.228003
03/07/2013,1215,40840.427486
03/07/2013,1230,40186.910241
03/07/2013,1245,39655.326751
03/07/2013,1260,39587.666763
03/07/2013,1275,39202.740398
03/07/2013,1290,38978.579297
03/07/2013,1305,38627.405623
