DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,27528.624365
01/07/2013,-90,28291.730469
01/07/2013,-75,28684.639333
01/07/2013,-60,28458.782016
01/07/2013,-45,27964.903335
01/07/2013,-30,27094.859951
01/07/2013,-15,26664.44435
01/07/2013,0,26735.645099
01/07/2013,15,26814.627776
01/07/2013,30,26959.34828
01/07/2013,45,27725.735244
01/07/2013,60,27466.535022
01/07/2013,75,27575.122412
01/07/2013,90,27657.045308
01/07/2013,105,27874.526352
01/07/2013,120,27863.417935
01/07/2013,135,28388.913396
01/07/2013,150,28465.557553
01/07/2013,165,28162.816455
01/07/2013,180,28088.844555
01/07/2013,195,28638.77813
01/07/2013,210,28729.605793
01/07/2013,225,30050.179413
01/07/2013,240,30816.924416
01/07/2013,255,34931.966044
01/07/2013,270,37550.173257
01/07/2013,285,38675.489706
01/07/2013,300,39691.642237
01/07/2013,315,40786.558658
01/07/2013,330,42078.776085
01/07/2013,345,43032.476278
01/07/2013,360,43239.143875
01/07/2013,375,42546.382486
01/07/2013,390,43782.550962
01/07/2013,405,43676.676174
01/07/2013,420,43518.230845
01/07/2013,435,43373.922062
01/07/2013,450,43608.623308
01/07/2013,465,43467.590643
01/07/2013,480,42891.414094
01/07/2013,495,42320.206376
01/07/2013,510,42215.487103
01/07/2013,525,41786.052143
01/07/2013,540,41398.715612
01/07/2013,555,41700.436819
01/07/2013,570,42220.9259
01/07/2013,585,42618.318976
01/07/2013,600,42486.508941
01/07/2013,615,42242.719229
01/07/2013,630,42395.827962
01/07/2013,645,42861.896664
01/07/2013,660,42898.045611
01/07/2013,675,42775.892472
01/07/2013,690,42227.696529
01/07/2013,705,41332.883131
01/07/2013,720,39383.55383
01/07/2013,735,38825.764451
01/07/2013,750,38976.934581
01/07/2013,765,38981.807945
01/07/2013,780,38705.605702
01/07/2013,795,38435.245633
01/07/2013,810,38454.3266
01/07/2013,825,37859.334137
01/07/2013,840,37525.670966
01/07/2013,855,37189.064171
01/07/2013,870,37317.279698
01/07/2013,885,36941.829045
01/07/2013,900,36566.665742
01/07/2013,915,36178.786607
01/07/2013,930,35608.834922
01/07/2013,945,34846.994062
01/07/2013,960,34264.475182
01/07/2013,975,33936.52284
01/07/2013,990,34216.121196
01/07/2013,1005,34505.470205
01/07/2013,1020,34657.851024
01/07/2013,1035,34935.184317
01/07/2013,1050,34929.00605
01/07/2013,1065,34990.628452
01/07/2013,1080,34749.503986
01/07/2013,1095,33836.657937
01/07/2013,1110,33409.843085
01/07/2013,1125,33538.135135
01/07/2013,1140,33479.140813
01/07/2013,1155,33837.95115
01/07/2013,1170,33560.656169
01/07/2013,1185,32809.762252
01/07/2013,1200,31490.822928
01/07/2013,1215,30581.459502
01/07/2013,1230,30227.814475
01/07/2013,1245,30564.936315
01/07/2013,1260,30395.032987
01/07/2013,1275,30093.147638
01/07/2013,1290,30261.801338
01/07/2013,1305,29546.503809
01/07/2013,1320,29197.035068
02/07/2013,-105,28166.480926
02/07/2013,-90,28630.399816
02/07/2013,-75,28798.400069
02/07/2013,-60,28771.500337
02/07/2013,-45,28841.181177
02/07/2013,-30,29108.087169
02/07/2013,-15,28561.290829
02/07/2013,0,28431.259184
02/07/2013,15,27988.442464
02/07/2013,30,28218.125143
02/07/2013,45,28812.105761
02/07/2013,60,28880.396211
02/07/2013,75,28889.102536
02/07/2013,90,28668.966576
02/07/2013,105,29381.850145
02/07/2013,120,29656.672961
02/07/2013,135,29720.685795
02/07/2013,150,29725.966312
02/07/2013,165,29929.773904
02/07/2013,180,30085.151652
02/07/2013,195,30465.86405
02/07/2013,210,30880.594876
02/07/2013,225,31673.739005
02/07/2013,240,32725.776678
02/07/2013,255,37092.028203
02/07/2013,270,39942.747482
02/07/2013,285,41094.742341
02/07/2013,300,42293.452053
02/07/2013,315,42861.935767
02/07/2013,330,43416.458096
02/07/2013,345,44023.180255
02/07/2013,360,44424.150815
02/07/2013,375,43402.988248
02/07/2013,390,44864.643423
02/07/2013,405,45092.89211
02/07/2013,420,45349.830662
02/07/2013,435,45391.012433
02/07/2013,450,45233.857261
02/07/2013,465,45308.330516
02/07/2013,480,45174.350045
02/07/2013,495,44769.53647
02/07/2013,510,44308.495954
02/07/2013,525,43714.020082
02/07/2013,540,43693.999549
02/07/2013,555,43372.435113
02/07/2013,570,43605.325698
02/07/2013,585,43780.529569
02/07/2013,600,44381.518925
02/07/2013,615,44558.444778
02/07/2013,630,44683.819073
02/07/2013,645,44675.533615
02/07/2013,660,44324.9402
02/07/2013,675,43849.246574
02/07/2013,690,43527.453874
02/07/2013,705,42763.88732
02/07/2013,720,40916.1572
02/07/2013,735,40366.665087
02/07/2013,750,40703.682291
02/07/2013,765,40434.449932
02/07/2013,780,40635.322702
02/07/2013,795,40874.131596
02/07/2013,810,40592.334981
02/07/2013,825,40377.68683
02/07/2013,840,40233.488833
02/07/2013,855,39522.968261
02/07/2013,870,39152.118884
02/07/2013,885,39230.407512
02/07/2013,900,39195.107431
02/07/2013,915,38609.358201
02/07/2013,930,38098.501371
02/07/2013,945,37436.41376
02/07/2013,960,36828.291649
02/07/2013,975,36339.533086
02/07/2013,990,36766.98508
02/07/2013,1005,37560.199639
02/07/2013,1020,37589.097695
02/07/2013,1035,37872.306062
02/07/2013,1050,37775.187788
02/07/2013,1065,37784.952882
02/07/2013,1080,37270.73827
02/07/2013,1095,36786.209631
02/07/2013,1110,36759.474032
02/07/2013,1125,36486.769142
02/07/2013,1140,36453.592755
02/07/2013,1155,36475.691747
02/07/2013,1170,36241.486472
02/07/2013,1185,35257.893164
02/07/2013,1200,33993.853842
02/07/2013,1215,33324.674941
