DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,18643.478164
01/07/2013,-90,18459.204128
01/07/2013,-75,18609.991476
01/07/2013,-60,18734.943629
01/07/2013,-45,18971.171288
01/07/2013,-30,18755.916673
01/07/2013,-15,18878.06036
01/07/2013,0,18693.832498
01/07/2013,15,18358.201004
01/07/2013,30,18298.322446
01/07/2013,45,18291.784086
01/07/2013,60,18352.570842
01/07/2013,75,17548.293071
01/07/2013,90,17287.783332
01/07/2013,105,17979.612938
01/07/2013,120,18640.836862
01/07/2013,135,18959.866025
01/07/2013,150,18215.718825
01/07/2013,165,18296.04652
01/07/2013,180,18564.510385
01/07/2013,195,18125.516438
01/07/2013,210,17749.490531
01/07/2013,225,18404.376247
01/07/2013,240,20266.459142
01/07/2013,255,23121.539188
01/07/2013,270,25347.496932
01/07/2013,285,25905.13071
01/07/2013,300,26866.432844
01/07/2013,315,27176.58104
01/07/2013,330,27650.660373
01/07/2013,345,28267.438985
01/07/2013,360,29519.365264
01/07/2013,375,30085.404582
01/07/2013,390,31119.788347
01/07/2013,405,30628.115289
01/07/2013,420,30449.374931
01/07/2013,435,30275.990412
01/07/2013,450,30195.292976
01/07/2013,465,30290.056857
01/07/2013,480,30242.443884
01/07/2013,495,29309.342205
01/07/2013,510,29176.200727
01/07/2013,525,29204.664634
01/07/2013,540,29132.53648
01/07/2013,555,29592.825676
01/07/2013,570,29509.09861
01/07/2013,585,29790.419731
01/07/2013,600,30019.016425
01/07/2013,615,30740.974536
01/07/2013,630,30589.71657
01/07/2013,645,30808.341702
01/07/2013,660,31266.465479
01/07/2013,675,31226.334435
01/07/2013,690,30236.431784
01/07/2013,705,28909.192823
01/07/2013,720,27890.665924
01/07/2013,735,27761.08311
01/07/2013,750,27964.092136
01/07/2013,765,29378.759825
01/07/2013,780,29303.403459
01/07/2013,795,28340.875468
01/07/2013,810,28236.345723
01/07/2013,825,28587.560532
01/07/2013,840,28330.492433
01/07/2013,855,27833.974165
01/07/2013,870,27699.157653
01/07/2013,885,27473.35879
01/07/2013,900,27420.926702
01/07/2013,915,26656.784746
01/07/2013,930,26887.782148
01/07/2013,945,27578.104221
01/07/2013,960,27322.691
01/07/2013,975,26609.761034
01/07/2013,990,26581.605341
01/07/2013,1005,27153.645483
01/07/2013,1020,27652.954234
01/07/2013,1035,27045.988187
01/07/2013,1050,27191.837046
01/07/2013,1065,26806.667892
01/07/2013,1080,26264.858405
01/07/2013,1095,26331.939834
01/07/2013,1110,26078.21724
01/07/2013,1125,26437.561816
01/07/2013,1140,26563.564322
01/07/2013,1155,25885.140194
01/07/2013,1170,26160.870535
01/07/2013,1185,25156.743007
01/07/2013,1200,25083.292335
01/07/2013,1215,24406.328657
01/07/2013,1230,24084.600956
01/07/2013,1245,24204.284563
01/07/2013,1260,24962.275551
01/07/2013,1275,24262.624108
01/07/2013,1290,24243.382039
01/07/2013,1305,24247.687139
01/07/2013,1320,23651.957468
02/07/2013,-105,23716.019628
02/07/2013,-90,23731.845191
02/07/2013,-75,24116.389137
02/07/2013,-60,23728.715188
02/07/2013,-45,23270.347613
02/07/2013,-30,23558.892839
02/07/2013,-15,23450.108413
02/07/2013,0,23161.042759
02/07/2013,15,23241.931751
02/07/2013,30,23446.679412
02/07/2013,45,22827.682162
02/07/2013,60,22435.620824
02/07/2013,75,22265.502176
02/07/2013,90,22430.753799
02/07/2013,105,22727.411759
02/07/2013,120,22301.666802
02/07/2013,135,22516.604527
02/07/2013,150,22725.509705
02/07/2013,165,22265.748578
02/07/2013,180,22194.815894
02/07/2013,195,22606.779234
02/07/2013,210,22532.578909
02/07/2013,225,23067.586596
02/07/2013,240,25260.436916
02/07/2013,255,27909.849232
02/07/2013,270,30319.392284
02/07/2013,285,31348.492362
02/07/2013,300,31993.312667
02/07/2013,315,32468.001474
02/07/2013,330,32415.045526
02/07/2013,345,33293.826877
02/07/2013,360,33340.759868
02/07/2013,375,33797.847104
02/07/2013,390,33130.245016
02/07/2013,405,34067.053419
02/07/2013,420,33968.925302
02/07/2013,435,34194.181152
02/07/2013,450,32869.36571
02/07/2013,465,31675.927816
02/07/2013,480,31845.977623
02/07/2013,495,32361.844899
02/07/2013,510,33076.597335
02/07/2013,525,32849.753013
02/07/2013,540,33252.656605
02/07/2013,555,33897.281604
02/07/2013,570,33920.472278
02/07/2013,585,33385.997548
02/07/2013,600,34007.903445
02/07/2013,615,34048.1856
02/07/2013,630,34073.63992
02/07/2013,645,34177.810413
02/07/2013,660,34169.17384
02/07/2013,675,34628.875109
02/07/2013,690,33676.410011
02/07/2013,705,33060.269366
02/07/2013,720,31563.017208
02/07/2013,735,30338.551863
02/07/2013,750,30418.464459
02/07/2013,765,30249.203068
02/07/2013,780,29677.198905
02/07/2013,795,29771.667402
02/07/2013,810,29536.308842
02/07/2013,825,28960.24546
02/07/2013,840,28712.058629
02/07/2013,855,28778.181026
02/07/2013,870,29135.017625
02/07/2013,885,28900.436885
02/07/2013,900,28648.080576
02/07/2013,915,28876.566741
02/07/2013,930,29160.352875
02/07/2013,945,28439.573919
02/07/2013,960,27805.513566
02/07/2013,975,27729.78417
02/07/2013,990,27150.931473
02/07/2013,1005,26791.731743
02/07/2013,1020,27804.892581
02/07/2013,1035,27280.191583
02/07/2013,1050,27179.319538
02/07/2013,1065,27190.230218
02/07/2013,1080,27055.773441
02/07/2013,1095,27178.633588
02/07/2013,1110,27218.852578
02/07/2013,1125,27114.739371
02/07/2013,1140,26856.823556
02/07/2013,1155,26455.00453
02/07/2013,1170,26084.864622
02/07/2013,1185,25477.18469
02/07/2013,1200,25314.145344
02/07/2013,1215,25457.635591
02/07/2013,1230,24844.036499
02/07/2013,1245,24551.850583
02/07/2013,1260,24197.95696
02/07/2013,1275,24107.299698
02/07/2013,1290,23991.923948
02/07/2013,1305,23867.725101
02/07/2013,1320,23729.829105
03/07/2013,-105,23613.730826
03/07/2013,-90,23570.784709
03/07/2013,-75,23965.781347
03/07/2013,-60,23819.039622
03/07/2013,-45,22876.173579
03/07/2013,-30,22844.038556
03/07/2013,-15,23144.619325
03/07/2013,0,22755.447382
03/07/2013,15,22689.647339
03/07/2013,30,22241.246332
03/07/2013,45,21741.428347
03/07/2013,60,21853.847277
03/07/2013,75,22055.333215
03/07/2013,90,22119.223079
03/07/2013,105,21480.416909
03/07/2013,120,21450.067701
03/07/2013,135,21206.812559
03/07/2013,150,22143.843282
03/07/2013,165,21745.382645
03/07/2013,180,21399.324909
03/07/2013,195,21573.349237
03/07/2013,210,21877.874912
03/07/2013,225,23113.184853
03/07/2013,240,25215.922371
03/07/2013,255,27332.470354
03/07/2013,270,29875.250098
03/07/2013,285,31510.075803
03/07/2013,300,31723.923556
03/07/2013,315,32492.869478
03/07/2013,330,33248.040423
03/07/2013,345,33301.726023
03/07/2013,360,32618.555452
03/07/2013,375,33386.639823
03/07/2013,390,33507.871243
03/07/2013,405,34316.026846
03/07/2013,420,34578.108143
03/07/2013,435,34528.548529
03/07/2013,450,34065.551706
03/07/2013,465,34049.531107
03/07/2013,480,33173.256707
03/07/2013,495,32723.862024
03/07/2013,510,32613.338411
03/07/2013,525,33050.892324
03/07/2013,540,33342.269357
03/07/2013,555,32851.902767
03/07/2013,570,33438.736342
03/07/2013,585,33227.03436
03/07/2013,600,33664.317083
03/07/2013,615,33547.196544
03/07/2013,630,33938.017162
03/07/2013,645,33509.644513
03/07/2013,660,33050.392595
03/07/2013,675,32211.857769
03/07/2013,690,31178.867872
03/07/2013,705,29850.10111
03/07/2013,720,30229.974822
03/07/2013,735,29114.450768
03/07/2013,750,28966.403783
03/07/2013,765,28593.109808
03/07/2013,780,29108.471943
03/07/2013,795,28257.79369
03/07/2013,810,28350.298249
03/07/2013,825,27733.317826
03/07/2013,840,27260.640558
03/07/2013,855,27433.575176
03/07/2013,870,27695.760911
03/07/2013,885,27492.825562
03/07/2013,900,27459.986873
03/07/2013,915,26655.608245
03/07/2013,930,26920.555687
03/07/2013,945,27324.417307
03/07/2013,960,27451.707158
03/07/2013,975,26152.157882
03/07/2013,990,25835.1583
03/07/2013,1005,25772.597453
03/07/2013,1020,25945.224845
03/07/2013,1035,26241.716385
03/07/2013,1050,26574.069333
03/07/2013,1065,26308.203767
03/07/2013,1080,26083.633736
03/07/2013,1095,25917.433889
03/07/2013,1110,25905.040269
03/07/2013,1125,25742.221151
03/07/2013,1140,25441.981757
03/07/2013,1155,25917.500037
03/07/2013,1170,25498.057647
03/07/2013,1185,24615.03114
03/07/2013,1200,23976.52692
03/07/2013,1215,23336.680722
03/07/2013,1230,23269.227293
03/07/2013,1245,24472.22137
03/07/2013,1260,24779.706931
03/07/2013,1275,24881.062919
03/07/2013,1290,24068.634186
03/07/2013,1305,24258.330549
03/07/2013,1320,23858.742586
04/07/2013,-105,23973.581439
04/07/2013,-90,23587.355545
04/07/2013,-75,23658.461226
04/07/2013,-60,24093.479696
04/07/2013,-45,23222.113631
04/07/2013,-30,22753.774439
04/07/2013,-15,23136.997411
04/07/2013,0,23031.856738
04/07/2013,15,22172.48678
04/07/2013,30,21802.787658
04/07/2013,45,21674.422515
04/07/2013,60,22008.34105
04/07/2013,75,22040.213755
04/07/2013,90,22961.332548
04/07/2013,105,23632.958396
04/07/2013,120,23295.222366
04/07/2013,135,22730.986751
04/07/2013,150,22844.244943
04/07/2013,165,22913.591861
04/07/2013,180,23012.688433
04/07/2013,195,22545.347679
04/07/2013,210,23213.335165
04/07/2013,225,23243.842604
04/07/2013,240,24206.011598
04/07/2013,255,26449.450016
04/07/2013,270,28572.77005
04/07/2013,285,29269.264354
04/07/2013,300,30330.988723
04/07/2013,315,30677.006981
04/07/2013,330,31220.707862
04/07/2013,345,32320.924145
04/07/2013,360,32928.503189
04/07/2013,375,33414.264154
04/07/2013,390,32892.488322
04/07/2013,405,32555.77211
04/07/2013,420,33144.446504
04/07/2013,435,32850.911326
04/07/2013,450,32735.509433
04/07/2013,465,33130.554674
04/07/2013,480,33340.151762
04/07/2013,495,32057.093645
04/07/2013,510,31710.986713
04/07/2013,525,31550.979661
04/07/2013,540,31577.996071
04/07/2013,555,32711.224249
04/07/2013,570,32601.990825
04/07/2013,585,32521.52561
04/07/2013,600,32564.213724
04/07/2013,615,32366.466713
04/07/2013,630,33053.414544
04/07/2013,645,33474.008603
04/07/2013,660,32402.715561
04/07/2013,675,32632.80468
04/07/2013,690,32277.364402
04/07/2013,705,31343.800949
04/07/2013,720,31025.917661
04/07/2013,735,28717.139401
04/07/2013,750,27533.176374
04/07/2013,765,26514.426405
04/07/2013,780,26789.532512
04/07/2013,795,26509.062794
04/07/2013,810,26905.666103
04/07/2013,825,27209.087154
04/07/2013,840,27003.150383
04/07/2013,855,26669.656266
04/07/2013,870,27245.740396
04/07/2013,885,26962.215799
