DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,58065.990524
01/07/2013,-90,31077.567326
01/07/2013,-75,58279.405633
01/07/2013,-60,58448.887393
01/07/2013,-45,52737.456436
01/07/2013,-30,40937.570843
01/07/2013,-15,61564.94335
01/07/2013,0,56575.054952
01/07/2013,15,57293.36713
01/07/2013,30,38733.84411
01/07/2013,45,63775.122146
01/07/2013,60,53439.573265
01/07/2013,75,57102.493486
01/07/2013,90,33743.020453
01/07/2013,105,61089.956807
01/07/2013,120,59355.416332
01/07/2013,135,51199.316457
01/07/2013,150,37201.400728
01/07/2013,165,53392.537453
01/07/2013,180,55812.18342
01/07/2013,195,49847.131122
01/07/2013,210,37501.683049
01/07/2013,225,38787.435003
01/07/2013,240,66107.905013
01/07/2013,255,63569.095233
01/07/2013,270,62348.173991
01/07/2013,285,50592.929443
01/07/2013,300,71999.678208
01/07/2013,315,70548.518182
01/07/2013,330,70685.990859
01/07/2013,345,51952.367292
01/07/2013,360,56760.551431
01/07/2013,375,70395.965671
01/07/2013,390,67441.823884
01/07/2013,405,45655.835974
01/07/2013,420,59653.515093
01/07/2013,435,70739.238246
01/07/2013,450,53039.302906
01/07/2013,465,48519.803581
01/07/2013,480,48085.872119
01/07/2013,495,57031.273854
01/07/2013,510,70952.746119
01/07/2013,525,74159.121199
01/07/2013,540,70664.817334
01/07/2013,555,59638.886835
01/07/2013,570,66631.891248
01/07/2013,585,73582.088585
01/07/2013,600,73804.07829
01/07/2013,615,71280.722799
01/07/2013,630,51565.352093
01/07/2013,645,51410.352123
01/07/2013,660,49988.363913
01/07/2013,675,69755.344115
01/07/2013,690,67824.6388
01/07/2013,705,67138.75151
01/07/2013,720,55849.821984
01/07/2013,735,60534.332726
01/07/2013,750,75971.864497
01/07/2013,765,66766.785645
01/07/2013,780,69670.837547
01/07/2013,795,55722.046016
01/07/2013,810,78533.740088
01/07/2013,825,68098.837671
01/07/2013,840,68175.608638
01/07/2013,855,49982.004938
01/07/2013,870,73734.526107
01/07/2013,885,64469.303714
01/07/2013,900,66275.001604
01/07/2013,915,47990.849459
01/07/2013,930,75489.690919
01/07/2013,945,64581.020389
01/07/2013,960,60595.05324
01/07/2013,975,44986.027492
01/07/2013,990,73379.692193
01/07/2013,1005,67272.405191
01/07/2013,1020,60433.353401
01/07/2013,1035,48102.385806
01/07/2013,1050,56523.966202
01/07/2013,1065,69296.367744
01/07/2013,1080,65025.527362
01/07/2013,1095,56846.510555
01/07/2013,1110,49979.891042
01/07/2013,1125,72759.92509
01/07/2013,1140,59474.282967
01/07/2013,1155,62026.309598
01/07/2013,1170,47404.993122
01/07/2013,1185,73614.384575
01/07/2013,1200,61711.156815
01/07/2013,1215,55466.871442
01/07/2013,1230,46338.981988
01/07/2013,1245,68275.740298
01/07/2013,1260,58731.896409
01/07/2013,1275,63621.119894
01/07/2013,1290,52795.602535
01/07/2013,1305,59012.115812
01/07/2013,1320,66932.928735
02/07/2013,-105,59376.399354
02/07/2013,-90,49836.537287
02/07/2013,-75,45896.194486
02/07/2013,-60,63751.473509
02/07/2013,-45,59091.855738
02/07/2013,-30,54915.626277
02/07/2013,-15,46312.246931
02/07/2013,0,65453.058391
02/07/2013,15,50741.529449
02/07/2013,30,56247.049445
02/07/2013,45,44486.717027
02/07/2013,60,66400.073468
02/07/2013,75,55655.792367
02/07/2013,90,62027.708314
02/07/2013,105,37600.362123
02/07/2013,120,67207.59346
02/07/2013,135,54925.762638
02/07/2013,150,60016.569853
02/07/2013,165,36835.629141
02/07/2013,180,65380.459725
02/07/2013,195,59482.105386
02/07/2013,210,38985.148029
02/07/2013,225,58203.946559
02/07/2013,240,36765.55121
02/07/2013,255,41280.772167
02/07/2013,270,48611.901991
02/07/2013,285,51297.81881
02/07/2013,300,47189.247093
02/07/2013,315,47049.56382
02/07/2013,330,46531.258211
02/07/2013,345,47041.586774
02/07/2013,360,48080.470087
02/07/2013,375,48002.40258
02/07/2013,390,48811.851809
