DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,8531.419483
01/07/2013,-90,8598.402163
01/07/2013,-75,8533.51899
01/07/2013,-60,8924.792964
01/07/2013,-45,8726.684744
01/07/2013,-30,8729.877536
01/07/2013,-15,8477.737991
01/07/2013,0,8390.0136
01/07/2013,15,8386.988998
01/07/2013,30,7959.443392
01/07/2013,45,8340.948174
01/07/2013,60,8421.995904
01/07/2013,75,8343.694489
01/07/2013,90,8392.543009
01/07/2013,105,8402.287237
01/07/2013,120,8451.60353
01/07/2013,135,8314.401829
01/07/2013,150,8467.797492
01/07/2013,165,8271.798034
01/07/2013,180,8496.364963
01/07/2013,195,8821.579153
01/07/2013,210,8526.376896
01/07/2013,225,8571.030297
01/07/2013,240,9329.44694
01/07/2013,255,10345.490838
01/07/2013,270,12026.077849
01/07/2013,285,13835.162592
01/07/2013,300,14430.619669
01/07/2013,315,16978.451839
01/07/2013,330,19194.17442
01/07/2013,345,18275.275345
01/07/2013,360,17994.030479
01/07/2013,375,16740.046659
01/07/2013,390,18590.923351
01/07/2013,405,17518.177834
01/07/2013,420,23078.056801
01/07/2013,435,21381.980028
01/07/2013,450,24042.712032
01/07/2013,465,21034.816806
01/07/2013,480,18201.777241
01/07/2013,495,17163.323825
01/07/2013,510,18644.840413
01/07/2013,525,18752.108262
01/07/2013,540,15769.21866
01/07/2013,555,18475.338147
01/07/2013,570,21726.259597
01/07/2013,585,20245.608715
01/07/2013,600,17199.777236
01/07/2013,615,16875.322031
01/07/2013,630,16541.68608
01/07/2013,645,16686.182983
01/07/2013,660,20899.482462
01/07/2013,675,19101.500106
01/07/2013,690,17224.074732
01/07/2013,705,17575.939183
01/07/2013,720,18781.811312
01/07/2013,735,15528.497776
01/07/2013,750,15829.165318
01/07/2013,765,15223.218868
01/07/2013,780,16019.622827
01/07/2013,795,14148.64689
01/07/2013,810,16370.666481
01/07/2013,825,14522.888671
01/07/2013,840,15641.975443
01/07/2013,855,15140.347595
01/07/2013,870,16883.800815
01/07/2013,885,13510.228394
01/07/2013,900,16670.367586
01/07/2013,915,13761.087
01/07/2013,930,14276.589238
01/07/2013,945,13686.256813
01/07/2013,960,13917.151367
01/07/2013,975,14750.028434
01/07/2013,990,13555.649685
01/07/2013,1005,13686.22136
01/07/2013,1020,13414.000929
01/07/2013,1035,12893.44012
01/07/2013,1050,12746.363285
01/07/2013,1065,12333.926523
01/07/2013,1080,12268.230066
01/07/2013,1095,12218.593691
01/07/2013,1110,12579.052192
01/07/2013,1125,13028.040435
01/07/2013,1140,12722.551123
01/07/2013,1155,12113.943931
01/07/2013,1170,12276.798829
01/07/2013,1185,11423.006978
01/07/2013,1200,11082.454615
01/07/2013,1215,10804.947239
01/07/2013,1230,10751.723359
01/07/2013,1245,11210.127957
01/07/2013,1260,11315.952755
01/07/2013,1275,11112.228932
01/07/2013,1290,10750.670691
01/07/2013,1305,10963.003103
01/07/2013,1320,11003.343425
02/07/2013,-105,10876.523792
02/07/2013,-90,10712.712736
02/07/2013,-75,10931.753447
02/07/2013,-60,11109.071177
02/07/2013,-45,11070.000097
02/07/2013,-30,10820.962084
02/07/2013,-15,10911.842356
02/07/2013,0,10222.344972
02/07/2013,15,9896.15228
02/07/2013,30,9801.348752
02/07/2013,45,10326.306461
02/07/2013,60,10303.196007
02/07/2013,75,10171.958094
02/07/2013,90,10486.844229
02/07/2013,105,10350.6794
02/07/2013,120,10379.873813
02/07/2013,135,10030.803199
02/07/2013,150,10452.358203
02/07/2013,165,10814.162017
02/07/2013,180,10710.438803
02/07/2013,195,10781.84735
02/07/2013,210,11474.534905
02/07/2013,225,10903.988788
02/07/2013,240,10676.557423
02/07/2013,255,12335.221048
02/07/2013,270,13192.147659
02/07/2013,285,14586.034514
02/07/2013,300,15503.668896
02/07/2013,315,17454.585517
02/07/2013,330,16424.22755
02/07/2013,345,18159.866886
02/07/2013,360,20304.352823
02/07/2013,375,21516.803874
02/07/2013,390,20681.662821
02/07/2013,405,16763.459458
02/07/2013,420,17953.690883
02/07/2013,435,19274.099644
02/07/2013,450,18070.438757
02/07/2013,465,20260.453761
02/07/2013,480,23139.691643
02/07/2013,495,20283.795184
02/07/2013,510,20687.807291
02/07/2013,525,17482.249483
02/07/2013,540,20938.947568
02/07/2013,555,21150.609504
02/07/2013,570,19947.977734
02/07/2013,585,22534.297674
02/07/2013,600,21514.329086
02/07/2013,615,17447.019083
02/07/2013,630,18520.44679
02/07/2013,645,18818.590561
02/07/2013,660,20912.641325
02/07/2013,675,21243.577934
02/07/2013,690,17423.71264
02/07/2013,705,16322.743579
02/07/2013,720,16792.360226
02/07/2013,735,16424.878148
02/07/2013,750,21238.449895
02/07/2013,765,17455.159563
02/07/2013,780,18294.168236
02/07/2013,795,17379.674082
02/07/2013,810,18465.095726
02/07/2013,825,17640.016016
02/07/2013,840,16448.798386
02/07/2013,855,15920.711986
02/07/2013,870,15754.717391
02/07/2013,885,17123.223041
02/07/2013,900,16305.03314
02/07/2013,915,15828.778061
02/07/2013,930,16915.846317
02/07/2013,945,15166.732041
