DATUM,CAS,SUM_of_MNOZSTVO
01/07/2013,-105,1997.17123
01/07/2013,-90,1879.821763
01/07/2013,-75,1670.701042
01/07/2013,-60,1663.196769
01/07/2013,-45,1667.675412
01/07/2013,-30,1732.350283
01/07/2013,-15,1742.00927
01/07/2013,0,1715.038532
01/07/2013,15,1666.995809
01/07/2013,30,1617.48464
01/07/2013,45,1591.335585
01/07/2013,60,1565.197484
01/07/2013,75,1635.602695
01/07/2013,90,1539.914296
01/07/2013,105,1484.37018
01/07/2013,120,1517.534433
01/07/2013,135,1522.582393
01/07/2013,150,1522.248626
01/07/2013,165,1508.469862
01/07/2013,180,1613.781412
01/07/2013,195,1575.392349
01/07/2013,210,1598.073637
01/07/2013,225,1712.675714
01/07/2013,240,1887.222043
01/07/2013,255,1879.410539
01/07/2013,270,1947.558478
01/07/2013,285,2069.698003
01/07/2013,300,2228.338355
01/07/2013,315,2247.447942
01/07/2013,330,2368.630909
01/07/2013,345,2629.811133
01/07/2013,360,3071.884923
01/07/2013,375,2973.326315
01/07/2013,390,3082.037238
01/07/2013,405,3248.398476
01/07/2013,420,3255.472965
01/07/2013,435,3271.777797
01/07/2013,450,3140.568173
01/07/2013,465,3247.071944
01/07/2013,480,3163.575173
01/07/2013,495,3176.078045
01/07/2013,510,3147.197112
01/07/2013,525,3023.473407
01/07/2013,540,2999.888385
01/07/2013,555,3191.370542
01/07/2013,570,3135.973287
01/07/2013,585,3115.923917
01/07/2013,600,3184.776099
01/07/2013,615,3231.075654
01/07/2013,630,3351.283719
01/07/2013,645,3286.539949
01/07/2013,660,3380.668544
01/07/2013,675,3371.781349
01/07/2013,690,2939.195502
01/07/2013,705,2583.051288
01/07/2013,720,2387.694391
01/07/2013,735,2399.397317
01/07/2013,750,2387.215566
01/07/2013,765,2258.966081
01/07/2013,780,2236.004639
01/07/2013,795,2296.33014
01/07/2013,810,2208.573008
01/07/2013,825,2222.642119
01/07/2013,840,2181.398758
01/07/2013,855,2171.828373
01/07/2013,870,2129.762077
01/07/2013,885,2199.756333
01/07/2013,900,2240.754896
01/07/2013,915,2252.533508
01/07/2013,930,2197.488248
01/07/2013,945,2236.05643
01/07/2013,960,2121.924546
01/07/2013,975,1931.432405
01/07/2013,990,1862.733277
01/07/2013,1005,1768.166686
01/07/2013,1020,1838.376556
01/07/2013,1035,1988.210681
01/07/2013,1050,1961.300466
01/07/2013,1065,1948.746287
01/07/2013,1080,1928.898276
01/07/2013,1095,1973.877697
01/07/2013,1110,2010.654911
01/07/2013,1125,1995.477374
01/07/2013,1140,2095.426405
01/07/2013,1155,2098.799193
01/07/2013,1170,2107.641083
01/07/2013,1185,2075.293336
01/07/2013,1200,2016.033907
01/07/2013,1215,1841.355881
01/07/2013,1230,1925.55686
01/07/2013,1245,2041.502649
01/07/2013,1260,2080.282347
01/07/2013,1275,2150.853315
01/07/2013,1290,2120.2701
01/07/2013,1305,2253.869132
01/07/2013,1320,2244.61806
02/07/2013,-105,2244.870481
02/07/2013,-90,2230.379639
02/07/2013,-75,2158.959397
02/07/2013,-60,1967.931071
02/07/2013,-45,1961.213435
